BT,30.58291925,-91.21107913
BTG,45.74781103,-122.5915366
BTT,66.90500842,-151.5358829
BTV,44.39710472,-73.18263472
BTY,36.80059683,-116.7476408
BU,43.00031536,-78.65077272
BUA,45.55220194,-103.4563706
BUD,40.61659739,-83.06382639
BUF,42.9289915,-78.64634947
BUM,38.27208011,-94.48826111
BUP,44.69771839,-69.35859228
BUU,42.68932378,-88.30177906
BVG,31.33939167,-85.98194167
BVL,40.7260975,-113.7574172
BVO,36.83433472,-96.01843097
BVT,40.55617161,-87.06937447
BVY,42.61059389,-70.94327361
BW,36.88003703,-86.48159789
BWD,31.89258253,-98.95746019
BWG,36.96444444,-86.42333333
BWS,32.82126111,-106.0131528
BWZ,40.79843278,-74.8218325
BXK,33.45345611,-112.8245917
BXR,45.82127778,-92.36641667
BYI,42.58023936,-113.8658576
BYP,33.53748611,-96.23409444
BYT,41.93056166,-72.69987277
BZA,32.7681075,-114.6029464
BZJ,40.43563819,-76.55302219
BZM,35.86885389,-81.24052889
BZN,45.78389892,-111.1554549
BZQ,32.41537355,-81.66403297
CA,38.14492778,-97.27614444
CAE,33.85724986,-81.05390281
CAK,40.91627917,-81.44205889
CAM,42.99428883,-73.34401892
CBM,33.64153333,-88.43857222
CBU,45.588631,-122.6112524
CCC,40.92961883,-72.79885825
CCR,38.04492031,-122.0452073
CCT,37.38242172,-87.26370347
CCV,37.34753889,-75.99765278
CD,42.75518017,-103.1746585
CDB,55.26729461,-162.7739963
CDO,18.43415833,-69.66734167
CDS,34.36906503,-100.2890276
CE,30.85285317,-86.53660964
CEC,41.77957883,-124.2408471
CEF,42.19754433,-72.52631494
CEP,33.48988586,-105.4043378
CEW,30.82617375,-86.67914328
CEZ,37.38984978,-108.5617515
CFB,42.15749036,-76.13647161
CFJ,39.98094514,-86.91572625
CFX,40.23674372,-81.01329447
CFY,33.85568353,-79.76593153
CG,37.25334756,-89.70045528
CGG,44.68141817,-84.72859689
CGI,37.22753908,-89.57241108
CGL,58.35932547,-134.699451
