origin,dest,route,type,area,altitude,aircraft,direction,dep_artcc,arr_artcc,origin_tracon,dest_tracon
AIR,KMRB,"AIR J162",HSD,,,,"E BND",,ZDC,,PCT
AIR,TRIXY,"AIR J34 TRIXY",HSD,,,,"E BND",,,,
ALLEX,ALLRY,"ALLEX ALLRY",NAR,"N503B: DIRECT",,,EASTBOUND,,,,
ALLEX,BUDAR,"ALLEX BUDAR",NAR,"N469B: DIRECT",,,EASTBOUND,,,,
ALLEX,CARAC,"ALLEX CARAC",NAR,DIRECT,,,EASTBOUND,,,,
ALLEX,ELSIR,"ALLEX ELSIR",NAR,"N431B: DIRECT",,,EASTBOUND,,,,
ALLEX,IBERG,"ALLEX IBERG",NAR,"N393B: DIRECT",,,EASTBOUND,,,,
ALLEX,IRLOK,"ALLEX IRLOK",NAR,"N801B: DIRECT",,,EASTBOUND,,,,
ALLEX,JANJO,"ALLEX JANJO",NAR,"N779A: DIRECT",,,EASTBOUND,,,,
ALLEX,JAROM,"ALLEX LOMPI JAROM",NAR,N45E,,,EASTBOUND,,,,
ALLEX,JOOPY,"ALLEX JOOPY",NAR,"N357C: DIRECT",,,EASTBOUND,,,,
ALLEX,KADW,"ALLEX LARIE Q220 RIFLE Q167 ZIZZI KNUKK ATR LAFLN SPISY2",NAR,,,,WESTBOUND,,ZDC,,PCT
ALLEX,KATL,"ALLEX KAYCC KYLOH BAF Q448 PTW J48 MOL FLASK OZZZI2",NAR,,,,WESTBOUND,,ZTL,,A80
ALLEX,KAUS,"ALLEX KAYCC KYLOH BAF Q406 BWZ J6 HVQ Q68 LITTR TXK BROBB WINDU SEWZY6",NAR,,,,WESTBOUND,,ZHU,,AUS
ALLEX,KBDL,"ALLEX ENE KEYNN",NAR,,,,WESTBOUND,,ZBW,,Y90
ALLEX,KBED,"ALLEX SCUPP",NAR,,,,WESTBOUND,,ZBW,,A90
ALLEX,KBNA,"ALLEX KAYCC KYLOH BAF Q406 BWZ J6 HVQ Q68 YOCKY CUTRR PASLY5",NAR,,,,WESTBOUND,,ZME,,BNA
ALLEX,KBOS,"ALLEX AJJAY OOSHN5",NAR,,,,WESTBOUND,,ZBW,,A90
ALLEX,KBWI,"ALLEX KAYCC KYLOH NELIE Q75 MXE NUGGY TRISH4",NAR,,,,WESTBOUND,,ZDC,,PCT
ALLEX,KCHS,"ALLEX FOXBO RIFLE HEADI Q97 SAWED DFENC Q109 JOHAR AMYLU AMYLU3",NAR,,,,WESTBOUND,,ZJX,,CHS
ALLEX,KCLT,"ALLEX KAYCC KYLOH NELIE Q75 GVE AIROW CHSLY6",NAR,,,,WESTBOUND,,ZTL,,CLT
ALLEX,KCVG,"ALLEX ALB J49 PSB MAULL KODIE SAVVI TIGRR4",NAR,,,,WESTBOUND,,ZID,,CVG
ALLEX,KDFW,"ALLEX KAYCC KYLOH BAF Q406 BWZ J6 HVQ Q68 LITTR FEWWW SEEVR4",NAR,,,,WESTBOUND,,ZFW,,D10
ALLEX,KDOV,"ALLEX LARIE Q220 RIFLE Q439 BRIGS SIE",NAR,,,,WESTBOUND,,ZDC,,DOV
ALLEX,KDTW,"ALLEX GONZZ DONEO TPGUN2",NAR,,,,WESTBOUND,,ZOB,,D21
ALLEX,KEWR,"ALLEX HANAA FLOSI4",NAR,,,,WESTBOUND,,ZNY,,PHL
ALLEX,KFAY,"ALLEX FOXBO RIFLE Q167 KALDA COUPN RDU",NAR,,,,WESTBOUND,,ZDC,,FAY
ALLEX,KFLL,"ALLEX FOXBO RIFLE HEADI Q97 KALDA Q161 CHIEZ Y291 MAJIK CUUDA3",NAR,,,,WESTBOUND,,ZMA,,MIA
ALLEX,KFOK,"ALLEX LFV SEY ARCAV ORCHA",NAR,,,,WESTBOUND,,ZNY,,N90
ALLEX,KGSP,"ALLEX KAYCC KYLOH NELIE Q75 GVE FUBLL JUNNR4",NAR,,,,WESTBOUND,,ZTL,,GSP
ALLEX,KHPN,"ALLEX RIVVR VALRE1",NAR,,,,WESTBOUND,,ZNY,,N90
ALLEX,KIAD,"ALLEX KAYCC KYLOH BAF HYPER9",NAR,,,,WESTBOUND,,ZDC,,PCT
ALLEX,KIAH,"ALLEX KAYCC KYLOH BAF Q448 PTW J48 CSN FANPO Q40 AEX DOOBI3",NAR,,,,WESTBOUND,,ZHU,,I90
ALLEX,KJFK,"ALLEX ENE PARCH4",NAR,,,,WESTBOUND,,ZNY,,N90
ALLEX,KMCO,"ALLEX FOXBO RIFLE HEADI Q97 KALDA Q131 WAALT Y289 BAHAA HIBAC ALYNA4",NAR,,,,WESTBOUND,,ZJX,,F11
ALLEX,KMEM,"ALLEX KAYCC KYLOH BAF Q406 BWZ J6 HVQ Q68 RAMRD BLUZZ5",NAR,,,,WESTBOUND,,ZME,,M03
ALLEX,KMIA,"ALLEX FOXBO RIFLE HEADI Q97 KALDA Q101 SKARP Y313 HOAGG BNFSH3",NAR,,,,WESTBOUND,,ZMA,,MIA
ALLEX,KMLB,"ALLEX FOXBO RIFLE HEADI Q97 SAWED MOXXY Q85 LPERD OMN BITHO7",NAR,,,,WESTBOUND,,ZJX,,F11
ALLEX,KMSY,"ALLEX KAYCC KYLOH BAF Q448 PTW J48 CSN FANPO Q40 NIOLA MERDN TRSSH1",NAR,,,,WESTBOUND,,ZHU,,MSY
ALLEX,KODIK,"ALLEX KODIK",NAR,"N755A: DIRECT",,,EASTBOUND,,,,
ALLEX,KPHL,"ALLEX LARIE Q220 RIFLE Q439 BRIGS JIIMS4",NAR,,,,WESTBOUND,,ZNY,,PHL
ALLEX,KPIT,"ALLEX ENE CTR HNK KONJE SLT HAYNZ7",NAR,,,,WESTBOUND,,ZOB,,PIT
ALLEX,KPOB,"ALLEX FOXBO RIFLE Q167 KALDA COUPN RDU",NAR,,,,WESTBOUND,,ZDC,,FAY
ALLEX,KRDU,"ALLEX FOXBO RIFLE Q167 ZJAAY TAQLE3",NAR,,,,WESTBOUND,,ZDC,,RDU
ALLEX,KSDF,"ALLEX KAYCC KYLOH BAF Q406 BWZ J6 HVQ Q68 YOCKY LEDDL1",NAR,,,,WESTBOUND,,ZID,,SDF
ALLEX,KSWF,"ALLEX ALB TRESA1",NAR,,,,WESTBOUND,,ZNY,,N90
ALLEX,KTEB,"ALLEX ALB V489 COATE",NAR,,,,WESTBOUND,,ZNY,,PHL
ALLEX,KTPA,"ALLEX KAYCC KYLOH NELIE Q75 TEUFL BAAMF DADES2",NAR,,,,WESTBOUND,,ZMA,,TPA
ALLEX,KWRI,"ALLEX LARIE Q220 RIFLE Q439 DRIFT T416 CYN",NAR,,,,WESTBOUND,,ZNY,,WRI
ALLEX,LOMSI,"ALLEX LOMSI",NAR,"N731A: DIRECT",,,EASTBOUND,,,,
ALLEX,MELDI,"ALLEX MELDI",NAR,"N707B: DIRECT",,,EASTBOUND,,,,
ALLEX,MUSAK,"ALLEX MUSAK",NAR,"N315B: DIRECT",,,EASTBOUND,,,,
ALLEX,NEEKO,"ALLEX NEEKO",NAR,"N685B: DIRECT",,,EASTBOUND,,,,
ALLEX,NICSO,"ALLEX NICSO",NAR,"N271B: DIRECT",,,EASTBOUND,,,,
ALLEX,OMSAT,"ALLEX OMSAT",NAR,"N227B: DIRECT",,,EASTBOUND,,,,
ALLEX,PELTU,"ALLEX PELTU",NAR,"N659B: DIRECT",,,EASTBOUND,,,,
ALLEX,PORTI,"ALLEX PORTI",NAR,"N185B: DIRECT",,,EASTBOUND,,,,
ALLEX,RAFIN,"ALLEX RAFIN",NAR,"N75B: DIRECT",,,EASTBOUND,,,,
ALLEX,RELIC,"ALLEX RELIC",NAR,"N147C: DIRECT",,,EASTBOUND,,,,
ALLEX,RIKAL,"ALLEX RIKAL",NAR,"N631B: DIRECT",,,EASTBOUND,,,,
ALLEX,SAXAN,"ALLEX SAXAN",NAR,"N603A: DIRECT",,,EASTBOUND,,,,
ALLEX,SUPRY,"ALLEX SUPRY",NAR,"N107E: DIRECT",,,EASTBOUND,,,,
ALLEX,TUDEP,"ALLEX TUDEP",NAR,"N565B: DIRECT",,,EASTBOUND,,,,
ALLEX,UMESI,"ALLEX UMESI",NAR,"N535B: DIRECT",,,EASTBOUND,,,,
ALLRY,ALLEX,"ALLRY ALLEX",NAR,"N472A: DIRECT",,,WESTBOUND,,,,
ALLRY,ANATI,"ALLRY ANATI",NAR,"N484E: DIRECT",,,WESTBOUND,,,,
ALLRY,BRADD,"ALLRY BRADD",NAR,"N466A: DIRECT",,,WESTBOUND,,,,
ALLRY,EBONY,"ALLRY EBONY",NAR,"N474A: DIRECT",,,WESTBOUND,,,,
ALLRY,HULTN,"ALLRY HULTN",NAR,"N478B: DIRECT",,,WESTBOUND,,,,
ALLRY,KANNI,"ALLRY KANNI",NAR,"N464E: DIRECT",,,WESTBOUND,,,,
ALLRY,MIILS,"ALLRY MIILS",NAR,"N482C: DIRECT",,,WESTBOUND,,,,
ALLRY,TOPPS,"ALLRY TOPPS",NAR,"N476B: DIRECT",,,WESTBOUND,,,,
ALLRY,TUSKY,"ALLRY TUSKY",NAR,"N468A: DIRECT",,,WESTBOUND,,,,
ALLRY,VITOL,"ALLRY VITOL",NAR,"N458B: DIRECT",,,WESTBOUND,,,,
ALLRY,WHALE,"ALLRY WHALE",NAR,"N462C: DIRECT",,,WESTBOUND,,,,
ANATI,CYMX,"ANATI CATOG CYMX",NAR,,,,WESTBOUND,,,,
ANATI,CYYZ,"ANATI POLTY IMEBA9",NAR,,,,WESTBOUND,,ZYZ,,
ANATI,KDTW,"ANATI BOBTA TPGUN2",NAR,,,,WESTBOUND,,ZOB,,D21
ANATI,KDTW,"ANATI BOBTA CUUGR2",NAR,,,,WESTBOUND,,ZOB,,D21
ANATI,KORD,"ANATI KAPUX HOCKE FNT WYNDE3",NAR,,,,WESTBOUND,,ZAU,,C90
ANATI,KSTL,"ANATI ROSVO ECK GIJ RBS AARCH2",NAR,,,,WESTBOUND,,ZKC,,T75
ANCER,ALLRY,"ANCER ALLRY",NAR,"N523B: DIRECT",,,EASTBOUND,,,,
ANCER,AVUTI,"ANCER YBC AVUTI",NAR,N911B,,,EASTBOUND,,,,
ANCER,BOKTO,"ANCER YBC BOKTO",NAR,N891B,,,EASTBOUND,,,,
ANCER,BUDAR,"ANCER BUDAR",NAR,"N489A: DIRECT",,,EASTBOUND,,,,
ANCER,DORYY,"ANCER YBC DORYY",NAR,N875B,,,EASTBOUND,,,,
ANCER,ELSIR,"ANCER ELSIR",NAR,"N449B: DIRECT",,,EASTBOUND,,,,
ANCER,ENNSO,"ANCER YBC ENNSO",NAR,N857B,,,EASTBOUND,,,,
ANCER,HOIST,"ANCER YBC HOIST",NAR,N837B,,,EASTBOUND,,,,
ANCER,IRLOK,"ANCER IRLOK",NAR,"N817A: DIRECT",,,EASTBOUND,,,,
ANCER,JANJO,"ANCER JANJO",NAR,"N795B: DIRECT",,,EASTBOUND,,,,
ANCER,KODIK,"ANCER KODIK",NAR,"N773B: DIRECT",,,EASTBOUND,,,,
ANCER,LOMSI,"ANCER LOMSI",NAR,"N749A: DIRECT",,,EASTBOUND,,,,
ANCER,MELDI,"ANCER MELDI",NAR,"N725A: DIRECT",,,EASTBOUND,,,,
ANCER,NEEKO,"ANCER NEEKO",NAR,"N701A: DIRECT",,,EASTBOUND,,,,
ANCER,PELTU,"ANCER PELTU",NAR,"N675B: DIRECT",,,EASTBOUND,,,,
ANCER,RIKAL,"ANCER RIKAL",NAR,"N649B: DIRECT",,,EASTBOUND,,,,
ANCER,SAXAN,"ANCER SAXAN",NAR,"N621B: DIRECT",,,EASTBOUND,,,,
ANCER,TUDEP,"ANCER TUDEP",NAR,"N583B: DIRECT",,,EASTBOUND,,,,
ANCER,UMESI,"ANCER UMESI",NAR,"N553B: DIRECT",,,EASTBOUND,,,,
ANCER,URTAK,"ANCER YBC YDP URTAK",NAR,N939A,,,EASTBOUND,,,,
ANCER,VESMI,"ANCER YBC VESMI",NAR,N925B,,,EASTBOUND,,,,
AUNTI,PHNL,"AUNTI AHHEE KAENA4",SHD,"TRAFFIC TO HNL VIA R463",,,"SOUTHWEST BOUND",,ZHN,,HNL
AVPUT,DUTUM,"AVPUT NALDI DUTUM",NAR,N998B,,,WESTBOUND,,,,
AVUTI,DUVBI,"AVUTI DUVBI",NAR,"N834A: DIRECT",,,WESTBOUND,,,,
AVUTI,KSYR,"AVUTI YDP MT REEDO ART",NAR,N844B,,,WESTBOUND,,ZBW,,SYR
AVUTI,MT,"AVUTI YDP MT",NAR,N842C,,,WESTBOUND,,,,
AVUTI,QUBIS,"AVUTI DUVBI QUBIS",NAR,N838C,,,WESTBOUND,,,,
AVUTI,ROUND,"AVUTI YDP ROUND",NAR,N846C,,,WESTBOUND,,,,
AVUTI,SSM,"AVUTI YDP JOVIE HENDY SELBO CANSO SSM",NAR,N848C,,,WESTBOUND,,,,
AVUTI,SSM,"AVUTI YDP ROUND SSM",NAR,N850C,,,WESTBOUND,,,,
AVUTI,TAFFY,"AVUTI DUVBI TAFFY",NAR,N836B,,,WESTBOUND,,,,
AVUTI,TEALS,"AVUTI ALSOP TEALS",NAR,N852B,,,WESTBOUND,,,,
AVUTI,YBC,"AVUTI YDP YBC",NAR,N840C,,,WESTBOUND,,,,
AVUTI,YDP,"AVUTI YDP",NAR,N832A,,,WESTBOUND,,,,
BAE,KIAD,"BAE J34 AIR MGW GIBBZ5",SHD,"TRAFFIC OVERFLYING BADGER (BAE) VORTAC TO WASHINGTON DULLES (IAD)",,"GPS OR DME/DME-IRU EQUIPPED",,,ZDC,,PCT
BAHAA,KORL,"BAHAA AR15",HSD,WATER,,,"S BND",,ZJX,,F11
BAREE,ALLRY,"BAREE ALLRY",NAR,"N521B: DIRECT",,,EASTBOUND,,,,
BAREE,AVUTI,"BAREE DUVBI AVUTI",NAR,N905B,,,EASTBOUND,,,,
BAREE,AVUTI,"BAREE KISUV TABRU AVUTI",NAR,N907B,,,EASTBOUND,,,,
BAREE,AVUTI,"BAREE AVUTI",NAR,"N909B: DIRECT",,,EASTBOUND,,,,
BAREE,BOKTO,"BAREE BOKTO",NAR,"N889B: DIRECT",,,EASTBOUND,,,,
BAREE,BUDAR,"BAREE BUDAR",NAR,"N487A: DIRECT",,,EASTBOUND,,,,
BAREE,CUDDY,"BAREE CUDDY",NAR,"N879B: DIRECT",,,EASTBOUND,,,,
BAREE,DORYY,"BAREE YBC DORYY",NAR,N873A,,,EASTBOUND,,,,
BAREE,ELSIR,"BAREE ELSIR",NAR,"N447B: DIRECT",,,EASTBOUND,,,,
BAREE,ENNSO,"BAREE ENNSO",NAR,"N855B: DIRECT",,,EASTBOUND,,,,
BAREE,HOIST,"BAREE HOIST",NAR,"N835B: DIRECT",,,EASTBOUND,,,,
BAREE,IRLOK,"BAREE IRLOK",NAR,"N815B: DIRECT",,,EASTBOUND,,,,
BAREE,JANJO,"BAREE JANJO",NAR,"N793B: DIRECT",,,EASTBOUND,,,,
BAREE,KODIK,"BAREE KODIK",NAR,"N771B: DIRECT",,,EASTBOUND,,,,
BAREE,LOMSI,"BAREE LOMSI",NAR,"N747B: DIRECT",,,EASTBOUND,,,,
BAREE,MELDI,"BAREE MELDI",NAR,"N723A: DIRECT",,,EASTBOUND,,,,
BAREE,NEEKO,"BAREE NEEKO",NAR,"N699A: DIRECT",,,EASTBOUND,,,,
BAREE,PELTU,"BAREE PELTU",NAR,"N673B: DIRECT",,,EASTBOUND,,,,
BAREE,RIKAL,"BAREE RIKAL",NAR,"N647B: DIRECT",,,EASTBOUND,,,,
BAREE,SAXAN,"BAREE SAXAN",NAR,"N619B: DIRECT",,,EASTBOUND,,,,
BAREE,TUDEP,"BAREE TUDEP",NAR,"N581A: DIRECT",,,EASTBOUND,,,,
BAREE,UMESI,"BAREE UMESI",NAR,"N551A: DIRECT",,,EASTBOUND,,,,
BAREE,URTAK,"BAREE YDP URTAK",NAR,N937A,,,EASTBOUND,,,,
BAREE,VESMI,"BAREE DUVBI VESMI",NAR,N923B,,,EASTBOUND,,,,
BLENO,DUNEE,"BLENO Q439 DUNEE",HSD,,,,"SW BND",,,,
BOKTO,DUVBI,"BOKTO DUVBI",NAR,"N818B: DIRECT",,,WESTBOUND,,,,
BOKTO,MT,"BOKTO DUVBI MT",NAR,N824B,,,WESTBOUND,,,,
BOKTO,QUBIS,"BOKTO DUVBI QUBIS",NAR,N822C,,,WESTBOUND,,,,
BOKTO,ROUND,"BOKTO PUVOK ROUND",NAR,N826B,,,WESTBOUND,,,,
BOKTO,YBC,"BOKTO DUVBI YBC",NAR,N820B,,,WESTBOUND,,,,
BRADD,ALLRY,"BRADD ALLRY",NAR,"N499B: DIRECT",,,EASTBOUND,,,,
BRADD,BUDAR,"BRADD BUDAR",NAR,"N465B: DIRECT",,,EASTBOUND,,,,
BRADD,ELSIR,"BRADD ELSIR",NAR,"N427A: DIRECT",,,EASTBOUND,,,,
BRADD,IBERG,"BRADD IBERG",NAR,"N385C: DIRECT",,,EASTBOUND,,,,
BRADD,JAROM,"BRADD LOMPI JAROM",NAR,N41B,,,EASTBOUND,,,,
BRADD,JOOPY,"BRADD JOOPY",NAR,"N349B: DIRECT",,,EASTBOUND,,,,
BRADD,JOOPY,"BRADD SCOTS JOOPY",NAR,N351C,,,EASTBOUND,,,,
BRADD,JOOPY,"BRADD ACADN JOOPY",NAR,N353C,,,EASTBOUND,,,,
BRADD,KADW,"BRADD LARIE Q220 RIFLE Q167 ZIZZI KNUKK ATR LAFLN SPISY2",NAR,,,,WESTBOUND,,ZDC,,PCT
BRADD,KATL,"BRADD BOS BAF Q448 PTW J48 MOL FLASK OZZZI2",NAR,,,,WESTBOUND,,ZTL,,A80
BRADD,KAUS,"BRADD BOS BAF Q406 BWZ J6 HVQ Q68 LITTR TXK BROBB WINDU SEWZY6",NAR,,,,WESTBOUND,,ZHU,,AUS
BRADD,KBDL,"BRADD BOS T303 GRAYM WITNY",NAR,,,,WESTBOUND,,ZBW,,Y90
BRADD,KBED,"BRADD SCUPP",NAR,,,,WESTBOUND,,ZBW,,A90
BRADD,KBNA,"BRADD BOS BAF Q406 BWZ J6 HVQ Q68 YOCKY CUTRR PASLY5",NAR,,,,WESTBOUND,,ZME,,BNA
BRADD,KBOS,"BRADD EURRO OOSHN5",NAR,,,,WESTBOUND,,ZBW,,A90
BRADD,KBWI,"BRADD BOS Q75 MXE NUGGY TRISH4",NAR,,,,WESTBOUND,,ZDC,,PCT
BRADD,KCHS,"BRADD FOXBO RIFLE HEADI Q97 SAWED DFENC Q109 JOHAR AMYLU AMYLU3",NAR,,,,WESTBOUND,,ZJX,,CHS
BRADD,KCLT,"BRADD BOS Q75 GVE AIROW CHSLY6",NAR,,,,WESTBOUND,,ZTL,,CLT
BRADD,KCVG,"BRADD BOS CTR HNK J49 PSB MAULL KODIE SAVVI TIGRR4",NAR,,,,WESTBOUND,,ZID,,CVG
BRADD,KDFW,"BRADD BOS BAF Q406 BWZ J6 HVQ Q68 LITTR FEWWW SEEVR4",NAR,,,,WESTBOUND,,ZFW,,D10
BRADD,KDOV,"BRADD LARIE Q220 RIFLE Q439 BRIGS SIE",NAR,,,,WESTBOUND,,ZDC,,DOV
BRADD,KDTW,"BRADD GONZZ DONEO TPGUN2",NAR,,,,WESTBOUND,,ZOB,,D21
BRADD,KEWR,"BRADD COPLY BOS NELIE FLOSI4",NAR,,,,WESTBOUND,,ZNY,,PHL
BRADD,KFAY,"BRADD FOXBO RIFLE Q167 KALDA COUPN RDU",NAR,,,,WESTBOUND,,ZDC,,FAY
BRADD,KFLL,"BRADD FOXBO RIFLE HEADI Q97 KALDA Q161 CHIEZ Y291 MAJIK CUUDA3",NAR,,,,WESTBOUND,,ZMA,,MIA
BRADD,KFOK,"BRADD LFV SEY ARCAV ORCHA",NAR,,,,WESTBOUND,,ZNY,,N90
BRADD,KGSP,"BRADD COPLY Q75 GVE FUBLL JUNNR4",NAR,,,,WESTBOUND,,ZTL,,GSP
BRADD,KHPN,"BRADD COPLY BOS NELIE VALRE1",NAR,,,,WESTBOUND,,ZNY,,N90
BRADD,KIAD,"BRADD BOS BAF HYPER9",NAR,,,,WESTBOUND,,ZDC,,PCT
BRADD,KIAH,"BRADD BOS BAF Q448 PTW J48 CSN FANPO Q40 AEX DOOBI3",NAR,,,,WESTBOUND,,ZHU,,I90
BRADD,KJFK,"BRADD PLYMM PARCH4",NAR,,,,WESTBOUND,,ZNY,,N90
BRADD,KMCO,"BRADD FOXBO RIFLE HEADI Q97 KALDA Q131 WAALT Y289 BAHAA HIBAC ALYNA4",NAR,,,,WESTBOUND,,ZJX,,F11
BRADD,KMEM,"BRADD BOS BAF Q406 BWZ J6 HVQ Q68 RAMRD BLUZZ5",NAR,,,,WESTBOUND,,ZME,,M03
BRADD,KMIA,"BRADD FOXBO RIFLE HEADI Q97 KALDA Q101 SKARP Y313 HOAGG BNFSH3",NAR,,,,WESTBOUND,,ZMA,,MIA
BRADD,KMLB,"BRADD FOXBO RIFLE HEADI Q97 SAWED MOXXY Q85 LPERD OMN BITHO7",NAR,,,,WESTBOUND,,ZJX,,F11
BRADD,KMSY,"BRADD BOS BAF Q448 PTW J48 CSN FANPO Q40 NIOLA MERDN TRSSH1",NAR,,,,WESTBOUND,,ZHU,,MSY
BRADD,KPHL,"BRADD LARIE Q220 RIFLE Q439 BRIGS JIIMS4",NAR,,,,WESTBOUND,,ZNY,,PHL
BRADD,KPIT,"BRADD BOS CTR HNK KONJE SLT HAYNZ7",NAR,,,,WESTBOUND,,ZOB,,PIT
BRADD,KPOB,"BRADD FOXBO RIFLE Q167 KALDA COUPN RDU",NAR,,,,WESTBOUND,,ZDC,,FAY
BRADD,KRDU,"BRADD FOXBO RIFLE Q167 ZJAAY TAQLE3",NAR,,,,WESTBOUND,,ZDC,,RDU
BRADD,KSDF,"BRADD BOS BAF Q406 BWZ J6 HVQ Q68 YOCKY LEDDL1",NAR,,,,WESTBOUND,,ZID,,SDF
BRADD,KSWF,"BRADD COPLY BOS NELIE T212 TRESA TRESA1",NAR,,,,WESTBOUND,,ZNY,,N90
BRADD,KTEB,"BRADD COPLY BOS BAF MOBBS SAGES V489 COATE",NAR,,,,WESTBOUND,,ZNY,,PHL
BRADD,KTPA,"BRADD BOS Q75 TEUFL BAAMF DADES2",NAR,,,,WESTBOUND,,ZMA,,TPA
BRADD,KWRI,"BRADD LARIE Q220 RIFLE Q439 DRIFT T416 CYN",NAR,,,,WESTBOUND,,ZNY,,WRI
BRADD,MUSAK,"BRADD MUSAK",NAR,"N307A: DIRECT",,,EASTBOUND,,,,
BRADD,MUSAK,"BRADD SCOTS MUSAK",NAR,N309B,,,EASTBOUND,,,,
BRADD,NICSO,"BRADD NICSO",NAR,"N261B: DIRECT",,,EASTBOUND,,,,
BRADD,NICSO,"BRADD SCOTS NICSO",NAR,N263B,,,EASTBOUND,,,,
BRADD,OMSAT,"BRADD OMSAT",NAR,"N217B: DIRECT",,,EASTBOUND,,,,
BRADD,OMSAT,"BRADD SCOTS OMSAT",NAR,N219B,,,EASTBOUND,,,,
BRADD,PELTU,"BRADD PELTU",NAR,"N655B: DIRECT",,,EASTBOUND,,,,
BRADD,PORTI,"BRADD PORTI",NAR,"N175G: DIRECT",,,EASTBOUND,,,,
BRADD,PORTI,"BRADD SCOTS PORTI",NAR,N177G,,,EASTBOUND,,,,
BRADD,RAFIN,"BRADD RAFIN",NAR,"N67B: DIRECT",,,EASTBOUND,,,,
BRADD,RAFIN,"BRADD SCOTS RAFIN",NAR,N69B,,,EASTBOUND,,,,
BRADD,RELIC,"BRADD RELIC",NAR,"N137B: DIRECT",,,EASTBOUND,,,,
BRADD,RELIC,"BRADD SCOTS RELIC",NAR,N139B,,,EASTBOUND,,,,
BRADD,RIKAL,"BRADD RIKAL",NAR,"N627B: DIRECT",,,EASTBOUND,,,,
BRADD,SAXAN,"BRADD SAXAN",NAR,"N591B: DIRECT",,,EASTBOUND,,,,
BRADD,SUPRY,"BRADD SUPRY",NAR,"N99B: DIRECT",,,EASTBOUND,,,,
BRADD,SUPRY,"BRADD SCOTS SUPRY",NAR,N101B,,,EASTBOUND,,,,
BRADD,TUDEP,"BRADD TUDEP",NAR,"N561B: DIRECT",,,EASTBOUND,,,,
BRADD,UMESI,"BRADD UMESI",NAR,"N531B: DIRECT",,,EASTBOUND,,,,
BUDAR,ALLEX,"BUDAR ALLEX",NAR,"N436B: DIRECT",,,WESTBOUND,,,,
BUDAR,ANATI,"BUDAR ANATI",NAR,"N448A: DIRECT",,,WESTBOUND,,,,
BUDAR,BRADD,"BUDAR BRADD",NAR,"N432A: DIRECT",,,WESTBOUND,,,,
BUDAR,EBONY,"BUDAR EBONY",NAR,"N438B: DIRECT",,,WESTBOUND,,,,
BUDAR,HULTN,"BUDAR HULTN",NAR,"N444A: DIRECT",,,WESTBOUND,,,,
BUDAR,KANNI,"BUDAR KANNI",NAR,"N428A: DIRECT",,,WESTBOUND,,,,
BUDAR,MIILS,"BUDAR MIILS",NAR,"N446A: DIRECT",,,WESTBOUND,,,,
BUDAR,TOPPS,"BUDAR TOPPS",NAR,"N442E: DIRECT",,,WESTBOUND,,,,
BUDAR,TUSKY,"BUDAR TUSKY",NAR,"N434A: DIRECT",,,WESTBOUND,,,,
BUDAR,VITOL,"BUDAR VITOL",NAR,"N424K: DIRECT",,,WESTBOUND,,,,
BUDAR,WHALE,"BUDAR WHALE",NAR,"N426A: DIRECT",,,WESTBOUND,,,,
BVL,KSLC,"BVL BVL BVL2",SHD,"TRAFFIC ARRIVING SALT LAKE CITY TERMINAL AREA",,,"WEST OVER BVL",,ZLC,,S56
CAARS,KBJC,"CAARS HBU POWDR1",SHD,"DUNNN STAR NA - FILE HBU POWDR STAR OR SHRPE BRNKO STAR.",,,,,ZDV,,D01
CAARS,KBJC,"CAARS SHRPE BRNKO4",SHD,"DUNNN STAR NA - FILE HBU POWDR STAR OR SHRPE BRNKO STAR.",,,,,ZDV,,D01
CAM,GONZZ,"CAM Q822 GONZZ",HSD,,,,"W BND",,,,
CAMJO,JOHAR,"CAMJO Q109 JOHAR",HSD,,,,"N BND",,,,
CARAC,BRADD,"CARAC BRADD",NAR,"N32B: DIRECT",,,WESTBOUND,,,,
CARAC,KANNI,"CARAC KANNI",NAR,"N30B: DIRECT",,,WESTBOUND,,,,
CARAC,MIILS,"CARAC MIILS",NAR,"N38A: DIRECT",,,WESTBOUND,,,,
CARAC,TOPPS,"CARAC TOPPS",NAR,"N36A: DIRECT",,,WESTBOUND,,,,
CARAC,TUSKY,"CARAC TUSKY",NAR,"N34C: DIRECT",,,WESTBOUND,,,,
CARAC,VITOL,"CARAC VITOL",NAR,"N26B: DIRECT",,,WESTBOUND,,,,
CARAC,WHALE,"CARAC WHALE",NAR,"N28B: DIRECT",,,WESTBOUND,,,,
CEFOU,ALLRY,"CEFOU MIGLI ALLRY",NAR,N517A,,,EASTBOUND,,,,
CEFOU,ALLRY,"CEFOU ALLRY",NAR,"N519A: DIRECT",,,EASTBOUND,,,,
CEFOU,AVUTI,"CEFOU AVUTI",NAR,"N903B: DIRECT",,,EASTBOUND,,,,
CEFOU,BOKTO,"CEFOU BOKTO",NAR,"N887B: DIRECT",,,EASTBOUND,,,,
CEFOU,BUDAR,"CEFOU MIGLI BUDAR",NAR,N483B,,,EASTBOUND,,,,
CEFOU,BUDAR,"CEFOU BUDAR",NAR,"N485A: DIRECT",,,EASTBOUND,,,,
CEFOU,DORYY,"CEFOU DORYY",NAR,"N871A: DIRECT",,,EASTBOUND,,,,
CEFOU,ELSIR,"CEFOU LOPRO ELSIR",NAR,N443B,,,EASTBOUND,,,,
CEFOU,ELSIR,"CEFOU ELSIR",NAR,"N445B: DIRECT",,,EASTBOUND,,,,
