EFF_DATE,ARRIVAL_NAME,STAR_COMPUTER_CODE,ARTCC,DEST_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_DEST_GROUP
03/19/2026,TSHRT,BELLR.TSHRT2,ZHU,54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME,BELLR-TSHRT,CRP.TSHRT2,CORPUS CHRISTI TRANSITION,CRP LMEDA ALIEF BIGTX HYDRL BELLR TSHRT,CRP LMEDA ALIEF BIGTX HYDRL BELLR TSHRT 54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME
01/22/2026,TSHRT,BELLR.TSHRT2_old_2602_changed,ZHU,54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME,BELLR-TSHRT,PSX.TSHRT2,PALACIOS TRANSITION,PSX BELLR TSHRT,PSX BELLR TSHRT 54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME
03/19/2026,TSHRT,BELLR.TSHRT2,ZHU,54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME,BELLR-TSHRT,PSX.TSHRT2,PALACIOS TRANSITION,PSX BELLR TSHRT,PSX BELLR TSHRT 54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME
01/22/2026,TSHRT,BELLR.TSHRT2_old_2602_changed,ZHU,54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME,BELLR-TSHRT,SAT.TSHRT2,SAN ANTONIO TRANSITION,SAT HYDRL BELLR TSHRT,SAT HYDRL BELLR TSHRT 54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME
03/19/2026,TSHRT,BELLR.TSHRT2,ZHU,54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME,BELLR-TSHRT,SAT.TSHRT2,SAN ANTONIO TRANSITION,SAT HYDRL BELLR TSHRT,SAT HYDRL BELLR TSHRT 54T AXH EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41 TME
01/22/2026,BENKY,BENKY.BENKY6_old_2602_changed,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,BFORD.BENKY6,BFORD TRANSITION,BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/27R,BENKY-HIMGO,BFORD.BENKY6,BFORD TRANSITION,BFORD BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO,BFORD BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO ORD/27R
01/22/2026,BENKY,BENKY.BENKY6_old_2602_changed,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,BYLAW.BENKY6,BYLAW TRANSITION,BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
03/19/2026,BENKY,BENKY.BENKY6,ZAU,ORD/27R,BENKY-HIMGO,BYLAW.BENKY6,BYLAW TRANSITION,BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO,BYLAW BENKY NEWRK AHSTN PETAH KURKK VULCN HIMGO ORD/27R
01/22/2026,BENKY,BENKY.BENKY6_old_2602_changed,ZAU,ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R,BENKY-TONIE,CASHN.BENKY6,CASHN TRANSITION,CASHN BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE,CASHN BFORD BYLAW BENKY NEWRK AHSTN PETAH JORJO MONKZ TONIE ORD/04L|04R|09C|09L|09R|10C|10L|10R|22L|22R|27C|27L|28C|28R
