ARG,-16.6316944,128.4487500,3.00
ARH,31.0730000,33.8318611,5.00
ARH,31.5855805,-110.3389833,12.00
ARI,39.6460555,43.0270000,7.00
ARI,34.9867777,-3.0292500,-1.00
ARI,-18.3694444,-70.3463888,-7.00
ARK,34.1371944,49.8538333,4.00
ARK,50.3177777,67.0216666,10.00
ARL,59.6534166,17.9144722,6.00
ARL,46.8255555,61.6180555,9.00
ARP,-6.1765555,120.4391111,1.00
ARS,59.5862222,16.6503333,4.00
ART,43.9521305,-76.0646277,-12.00
ART,41.1802222,40.8586944,7.00
ARU,-10.9819250,-37.0773777,-23.00
ARX,38.1545000,21.4288333,4.00
ARX,-19.6891666,-47.0605555,-22.00
AS,16.9749638,8.0232305,1.00
AS,-23.7928888,133.8782222,5.00
ASB,29.3439666,47.5189138,4.00
ASB,38.0031638,58.3355555,5.00
ASD,33.3905555,62.2627777,2.00
ASH,30.1227777,38.7980555,3.00
ASI,-7.9698750,-14.3973361,-17.00
ASL,24.1041305,47.5414166,2.00
ASM,15.2844472,38.9008111,2.00
ASN,23.9717777,32.8169444,4.00
AST,46.1617000,-123.8803750,15.00
AST,27.0312222,31.0324166,4.00
AST,51.0015555,71.4334444,10.00
ATA,69.9774861,23.3717361,12.00
ATA,43.3748333,77.0852777,5.00
ATE,38.2861666,-0.5866666,1.00
ATF,-9.8683611,-56.1049500,-19.00
ATP,14.8002777,107.0200000,-0.90
ATR,47.1439444,51.8015000,9.00
ATR,38.8098111,-75.2113222,-9.00
ATV,37.8886777,23.8044972,5.00
ATY,44.9796861,-97.1417222,9.00
AUA,26.4717222,38.1407500,4.00
AUC,7.0672222,-70.7327777,-9.00
AUG,44.3200194,-69.7965638,-18.00
AV,-38.0488944,144.4589333,11.00
AVD,47.0580833,2.6298611,1.00
AVE,35.6469750,-119.9786055,16.00
AVI,46.0278694,12.5868777,2.00
AVN,43.9953611,4.7463888,2.00
AVS,43.5623611,-6.0245833,0.20
AWE,43.6672638,142.4568472,-9.00
AWK,19.2865861,166.6273194,6.00
AWZ,31.3375833,48.7645833,4.00
AXC,39.7375222,-88.8564305,3.00
AXE,40.6447777,22.4978888,5.00
AXM,4.4600000,-75.7655555,-6.00
AXN,45.9583888,-95.2326361,7.00
AY,-36.0680000,146.9660833,12.00
AYT,36.9208055,30.7944722,6.00
AZR,43.6597222,7.2244166,3.00
BA,32.0180833,34.8891944,0.20
BAB,39.1347944,-121.4407583,16.00
BAC,5.5226388,95.4223055,-1.00
BAD,32.5033388,-93.6677694,2.00
BAE,43.1168527,-88.2843444,2.00
BAF,42.1619583,-72.7162000,-14.00
BAG,40.0700000,32.8098888,6.00
BAK,40.4207777,50.0639722,6.00
BAL,53.2998888,-6.4477777,-1.00
BAL,39.1710638,-76.6612555,-11.00
BAL,-45.9130555,-71.7125000,9.00
BAL,10.1832500,-67.5485000,-12.00
BAM,51.3277583,7.1769833,3.00
BAM,40.5690805,-116.9222555,13.00
BAM,29.0774722,58.4583333,2.00
BAN,53.3730000,83.5788055,7.00
BAN,34.8633055,9.1677500,2.00
BAQ,10.7952777,-74.8602777,-8.00
BAR,33.7694444,35.5555555,3.00
BAR,-41.1402611,-71.1889944,6.00
BAR,69.0456916,18.5863972,9.00
BAR,41.1442500,16.7764444,4.00
BAT,37.9379722,41.1196111,6.00
BAT,24.2158333,51.4519722,2.00
BAV,40.5566666,109.9983333,-5.00
BAY,49.9851500,11.6366833,2.00
BAY,33.7098055,1.0791861,1.00
BBB,19.0861666,72.8746944,-1.00
BBE,50.7568611,4.7687500,2.00
BBG,12.9497500,77.6810000,-2.00
BBI,15.1653694,76.8801111,-1.00
BBI,52.3420138,13.4540472,5.00
BBL,51.1677777,5.4710555,3.00
BBM,15.8571388,74.6192777,-1.00
BBS,20.2442222,85.8130000,-1.00
BBZ,16.5377222,80.8356111,-1.00
BC,32.0124166,34.8641944,0.20
BCA,41.3055000,2.0997500,0.20
BCA,-38.7200000,-62.1583611,-3.00
BCD,10.7752777,123.0205277,-2.00
BCE,37.6891861,-112.3039027,15.00
BCH,10.4568333,9.7483888,-1.00
BCH,-25.4038888,-49.2338888,-20.00
BCN,51.7255250,-3.2630333,-1.00
BCN,41.3071388,2.1078055,1.00
BCS,40.6585833,17.9519166,4.00
BCU,46.5109166,26.8255555,7.00
BCY,47.9853055,1.7555555,1.00
BD,32.0023333,34.8920833,0.20
BD,11.1450361,-4.3508555,-2.00
BDA,32.3643861,-64.6895722,-15.00
BDA,9.1021388,6.0175277,-1.00
BDB,24.3308333,41.8244444,4.00
BDB,57.8738888,114.2322222,-10.00
BDF,69.0648805,18.4661750,9.00
BDH,45.1176694,-95.1270611,4.00
BDM,40.3167500,27.9820833,5.00
BDM,-3.4368055,114.7315000,1.00
BDN,51.1488027,-1.7526527,1.00
BDO,67.2666972,14.3648555,6.00
BDR,11.6064166,37.3172166,3.00
BDR,37.2576944,27.6377500,5.00
BDR,41.1607055,-73.1244861,-12.00
BDR,17.9050000,77.4822222,-1.00
BDT,9.3388500,-82.2517611,-1.00
BEA,12.5016194,-70.0208000,-11.00
BEJ,38.1284166,-7.9266944,-1.00
BEL,-1.3843583,-48.4785638,-20.00
BEL,54.6611444,-6.2299055,-1.00
BEN,6.2836388,5.5579444,-3.00
BEN,57.4779361,-7.3653000,-2.00
BER,51.8712305,-176.6741111,7.00
BES,-3.5444055,-80.3890694,-2.00
BET,60.7848361,-161.8243305,14.00
BFF,41.8941638,-103.4820305,13.00
BFM,30.6127222,-88.0554944,4.00
BFS,50.2414166,4.6532500,2.00
BFV,35.2369444,-99.2061666,5.00
BG,32.0118083,34.8689916,0.20
BGD,44.8193611,20.3111666,6.00
BGD,35.8070722,-101.3821527,11.00
BGD,33.2921111,44.2254444,4.00
BGE,-31.3907138,-54.1097166,-15.00
BGI,13.0750500,-59.4838277,-15.00
BGM,34.9503805,69.2715055,3.00
BGN,21.1695361,94.9281527,-1.00
BGN,32.0131111,34.8753611,5.00
BGO,17.3184944,96.5198750,-1.00
BGQ,61.5694333,-149.9671583,19.00
BGR,41.9476944,3.2088611,2.00
BGR,44.8417944,-68.8739666,-19.00
BGR,32.1577777,-7.8808333,-2.00
BGS,32.3855888,-101.4836833,11.00
BGS,42.5871666,27.5379722,6.00
BGS,55.5627500,52.0843055,14.00
BHA,20.2924722,41.6291388,3.00
BHE,43.8764333,144.1610250,-10.00
BHI,-32.0006666,141.4799722,8.00
BHL,9.5726944,123.7676111,-2.00
BHO,18.2544444,-71.1302777,-10.00
BHR,26.2583333,50.6553277,3.00
BHS,30.5116666,104.2000000,-2.00
BHY,21.5866666,109.4316666,-2.00
BHZ,-19.8357694,-44.0035611,-23.00
BIA,13.2091388,77.6946944,-2.00
BIB,38.9203444,-88.4818055,3.00
BIE,40.3014277,-96.7546444,7.00
BIG,40.2843888,27.3655277,5.00
BIG,64.0044611,-145.7172472,23.00
BIG,51.3308750,0.0348111,1.00
BIH,37.3769500,-118.3665277,15.00
BIK,12.4909166,4.3901111,-1.00
BIK,13.1141666,123.6764166,-2.00
BIK,-1.1824722,136.0861388,2.00
BIL,45.8085583,-108.6246472,14.00
BIS,34.7760861,5.7637305,2.00
BIS,46.7617611,-100.6654083,12.00
