ARPT_ID,ICAO_ID,ARPT_NAME,LAT_DECIMAL,LONG_DECIMAL,ELEV,RESP_ARTCC_ID,COMPUTER_ID,ARTCC_NAME,TWR_TYPE_CODE,DCC REGION,ASPM82,OEP35,Core30,Tower,Approach,Secondary Approach,Departure,Secondary Departure,Approach/Departure,Approach ID,Secondary Approach ID,Departure ID,Secondary Departure ID,Approach/Departure ID,Consolidated Approach,Consolidated Approach ID,OPSNET45
28OK,,PELLAR FARM,35.50282972,-98.04060694,1400,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OK26,,ATWOODS,36.39277777,-97.94777777,1296,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
WDG,KWDG,ENID WOODRING RGNL,36.37595555,-97.78942277,1167.2,ZKC,ZCK,KANSAS CITY,ATCT,Midwest,FALSE,FALSE,FALSE,WOODRING,VANCE,KANSAS CITY ARTCC,VANCE,KANSAS CITY ARTCC,,END,ZKC,END,ZKC,,VANCE / KANSAS CITY ARTCC,END / ZKC,FALSE
END,KEND,VANCE AFB,36.33980583,-97.91723944,1312.7,ZKC,ZCK,KANSAS CITY,ATCT-RAPCON,Midwest,FALSE,FALSE,FALSE,VANCE,VANCE,KANSAS CITY ARTCC,VANCE,KANSAS CITY ARTCC,VANCE,END,ZKC,END,ZKC,,VANCE / KANSAS CITY ARTCC,END / ZKC,FALSE
O13,,HADDOCK FLD,35.20075,-99.88105555,2097,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OL46,,REED AERO,35.29579713,-99.9251103,2120,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
F08,,EUFAULA MUNI,35.29830416,-95.62737083,635,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
9OK6,,EPIC MEDICAL CENTER,35.311,-95.59109722,640,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OK04,,CANADIAN RIVER RANCH,35.30944444,-95.80833333,850,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0F7,,FOUNTAINHEAD LODGE AIRPARK,35.38866666,-95.60027777,670,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
68OK,,FAIRFAX,36.56671388,-96.71697694,960,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
69OK,,GREEN COUNTRY AIRPARK,36.72868388,-94.85051222,840,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1OK,,FAIRMONT FLD,36.36523611,-97.66784166,1170,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
6K4,,FAIRVIEW MUNI,36.29119444,-98.47580555,1273.8,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,VANCE,KANSAS CITY ARTCC,VANCE,KANSAS CITY ARTCC,,END,ZKC,END,ZKC,,VANCE / KANSAS CITY ARTCC,END / ZKC,FALSE
OK39,,JUDY RANCH,36.96669444,-100.3170894,2240,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
FSI,KFSI,HENRY POST AAF (FORT SILL),34.6498265,-98.40218491,1188.3,ZFW,ZCF,FORT WORTH,ATCT-A/C,South Central,FALSE,FALSE,FALSE,POST,FORT SILL,,FORT SILL,,FORT SILL,FSI,,FSI,,,FORT SILL,FSI,FALSE
FDR,KFDR,FREDERICK RGNL,34.3520958,-98.98390908,1258,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,ALTUS,FORT WORTH ARTCC,ALTUS,FORT WORTH ARTCC,,LTS,ZFW,LTS,ZFW,,ALTUS / FORT WORTH ARTCC,LTS / ZFW,FALSE
K77,,FREEDOM MUNI,36.75849444,-99.10201111,1517,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
GAG,KGAG,GAGE,36.29576527,-99.77649583,2223.2,ZKC,ZCK,KANSAS CITY,NON-ATCT,Midwest,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0OK3,,MCKINLEY RANCH,35.61949388,-98.52257055,1420,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OL28,,CEDAR & SKY FLY IN RANCH,35.58387777,-98.30410138,1588,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
39OK,,PARADISE AIR HAVEN,35.11148333,-97.47925277,1205,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1K4,,DAVID JAY PERRY,35.1550675,-97.47039388,1168.8,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,OKE CITY,,OKE CITY,,,OKC,,OKC,,,OKE CITY,OKC,FALSE
5OK4,,PACER FLD,35.11701305,-97.45058722,1140,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
OK02,,DICK'S,35.11083333,-97.48166666,1160,ZFW,ZCF,FORT WORTH,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
