doc_or_wiki_file,table_ref_count,tables
docs/tmi/README.md,10,tmi_advisories; tmi_airport_configs; tmi_delay_entries; tmi_entries; tmi_programs; tmi_proposals; tmi_public_routes; tmi_reroute_compliance_log; tmi_reroute_flights; tmi_reroutes
wiki/Data-Flow.md,10,adl_flight_core; playbook_changelog; playbook_plays; playbook_routes; splits_configs; splits_positions; tmi_advisories; tmi_entries; tmi_programs; tmi_proposals
docs/superpowers/specs/2026-03-12-ctp-e26-integration-design.md,9,artcc_boundaries; dbo.ctp_audit_log; nav_fixes; playbook_changelog; playbook_plays; playbook_route_throughput; playbook_routes; sector_boundaries; tracon_boundaries
wiki/AIRAC-Update.md,8,dbo.airways; dbo.coded_departure_routes; dbo.nav_fixes; dbo.nav_procedures; dbo.playbook_routes; dbo.ref_sync_log; nav_fixes; playbook_routes
docs/adl-ingest-outage-2026-02-17-claude-brief.md,7,adl_flight_core; dbo.adl_flight_changelog; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_position; dbo.adl_flight_times; dbo.adl_parse_queue
docs/gdt-tmi-workflow-plan.md,7,dbo.tmi_flight_list; dbo.tmi_program_coordination_log; dbo.tmi_programs; dbo.tmi_proposals; tmi_advisories; tmi_programs; tmi_proposals
docs/swim/ADL_NORMALIZED_SCHEMA_REFERENCE.md,7,adl_flight_core; dbo.adl_flight_aircraft; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_position; dbo.adl_flight_times; dbo.adl_flight_tmi
docs/tmi/COST_ANALYSIS.md,7,tmi_advisories; tmi_entries; tmi_programs; tmi_public_routes; tmi_reroute_compliance_log; tmi_reroute_flights; tmi_reroutes
wiki/Algorithm-Route-Parsing.md,6,adl_flight_core; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_waypoints; dbo.adl_parse_queue; nav_fixes
wiki/TMI-Historical-Import-Statistics.md,6,tmi_advisories; tmi_airport_configs; tmi_delay_entries; tmi_entries; tmi_programs; tmi_reroutes
docs/plans/2026-02-09-nod-tmi-facility-flows-design.md,5,nav_fixes; tmi_delay_entries; tmi_entries; tmi_programs; tmi_reroutes
docs/plans/2026-02-16-holding-detection.md,5,dbo.adl_flight_waypoints; dbo.nav_fixes; dbo.nav_procedure_legs; dbo.nav_procedures; nav_fixes
docs/route_distance_transition.md,5,adl_flight_core; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_position; dbo.adl_flight_waypoints
docs/swim/VATSWIM_API_Documentation.md,5,dbo.swim_api_keys; dbo.swim_audit_log; dbo.swim_subscriptions; dbo.swim_webhook_endpoints; tmi_programs
docs/vATCSCC_Use_Case_Digestible_v5.md,5,adl_flight_core; p_plans; tmi_advisories; tmi_entries; tmi_programs
wiki/Algorithm-Zone-Detection.md,5,adl_flight_core; dbo.adl_flight_core; dbo.adl_run_log; dbo.adl_zone_events; dbo.airport_geometry
wiki/Changelog.md,5,nav_fixes; playbook_changelog; playbook_plays; playbook_routes; r_tmr_reports
wiki/GIS-API.md,5,artcc_boundaries; nav_fixes; playbook_routes; sector_boundaries; tracon_boundaries
wiki/Troubleshooting.md,5,adl_boundary_grid; adl_flight_core; artcc_boundaries; nav_fixes; tracon_boundaries
docs/plans/2026-02-02-adl-raw-data-lake-design.md,4,adl_flight_boundary_log; adl_flight_core; dbo.adl_flight_core; dbo.adl_trajectory_archive
docs/simbrief_parsing_transition.md,4,adl_flight_core; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_stepclimbs
docs/superpowers/specs/2026-03-13-swim-playbook-cdr-routes-design.md,4,dbo.apts; dbo.coded_departure_routes; playbook_plays; playbook_routes
wiki/API-Reference.md,4,nav_fixes; playbook_changelog; playbook_plays; playbook_routes
wiki/Splits.md,4,sector_boundaries; splits_areas; splits_configs; splits_positions
docs/GDT_Unified_Design_Document_v1.md,3,dbo.ntml; dbo.ntml_info; dbo.ntml_slots
docs/mysql-8-upgrade-analysis.md,3,p_enroute_init_timeline; p_plans; p_terminal_init_timeline
docs/plans/2026-02-11-gdt-workflow-enhancement-design.md,3,dbo.tmi_programs; tmi_advisories; tmi_programs
docs/tmi/GDT_REBUILD_DESIGN.md,3,adl_flight_core; dbo.adl_flight_core; tmi_programs
docs/tmi/GDT_Session_20260121.md,3,dbo.vw_adl_flights; tmi_advisories; tmi_programs
docs/tmi/SESSION_TRANSITION_20260117.md,3,dbo.ntml; dbo.tmi_programs; tmi_programs
docs/tmi/TMI_Publisher_v1.8.0_Transition.md,3,dbo.apts; dbo.vw_airport_config_rates; dbo.vw_airport_config_summary
docs/tmi/Unified_TMI_Publisher_Design.md,3,dbo.tmi_discord_posts; tmi_advisories; tmi_entries
wiki/Algorithm-Trajectory-Tiering.md,3,adl_flight_core; dbo.adl_flight_core; dbo.adl_flight_trajectory
wiki/Analysis.md,3,adl_flight_core; tmi_advisories; tmi_programs
wiki/Playbook.md,3,playbook_changelog; playbook_plays; playbook_routes
docs/AZURE_COST_OPTIMIZATION_ANALYSIS.md,2,adl_flight_boundary_log; adl_flight_core
