table_base,variants,code_ref_count,doc_wiki_ref_count,sample_code_refs,sample_doc_wiki_refs
tmi_slots,dbo.tmi_slots,21,1,api/gdt/demand/hourly.php; api/gdt/programs/get.php; api/gdt/programs/purge.php; api/gdt/programs/simulate.php; api/gdt/slots/list.php; api/tmi/programs.php; database/migrations/tmi/002_create_tmi_slots.sql; database/migrations/tmi/005_create_views.sql; database/migrations/tmi/006_create_core_procedures.sql; database/migrations/tmi/007_create_rbs_and_popup_procedures.sql,docs/tmi/DATABASE.md
playbook_plays,playbook_plays,20,9,api/ctp/routes/suggest.php; api/data/playbook/acl.php; api/data/playbook/analysis.php; api/data/playbook/categories.php; api/data/playbook/changelog.php; api/data/playbook/get.php; api/data/playbook/list.php; api/mgt/playbook/acl.php; api/mgt/playbook/delete.php; api/mgt/playbook/groups.php,docs/superpowers/specs/2026-03-12-ctp-e26-integration-design.md; docs/superpowers/specs/2026-03-13-swim-playbook-cdr-routes-design.md; wiki/API-Reference.md; wiki/Architecture.md; wiki/Changelog.md; wiki/Data-Flow.md; wiki/Database-Schema.md; wiki/Navigation-Helper.md; wiki/Playbook.md
tmi_reroutes,dbo.tmi_reroutes; tmi_reroutes,20,14,api/ctp/routes/suggest.php; api/data/review/tmr_tmis.php; api/data/tmi/reroute.php; api/mgt/tmi/active.php; api/mgt/tmi/cancel.php; api/mgt/tmi/coordinate.php; api/mgt/tmi/edit.php; api/mgt/tmi/reroutes/bulk.php; api/mgt/tmi/reroutes/delete.php; api/mgt/tmi/reroutes/post.php,docs/QUICK_REFERENCE.md; docs/STATUS.md; docs/fmds-comparison.md; docs/plans/2026-02-09-nod-tmi-facility-flows-design.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; docs/tmi/ARCHITECTURE.md; docs/tmi/COST_ANALYSIS.md; docs/tmi/DATABASE.md; docs/tmi/README.md
artcc_boundaries,artcc_boundaries,19,11,database/migrations/postgis/001_boundaries_schema.sql; database/migrations/postgis/002_extended_functions.sql; database/migrations/postgis/003_airports_table.sql; database/migrations/postgis/ctp_oceanic_validation.sql; database/migrations/postgis/route_analysis_function.sql; load/services/GISService.php; scripts/postgis/004_route_expansion_functions.sql; scripts/postgis/006_batch_boundary_detection.sql; scripts/postgis/007_batch_sector_detection.sql; scripts/postgis/008_trajectory_crossings.sql,docs/COMPUTATIONAL_REFERENCE.md; docs/DEPLOYMENT_GUIDE.md; docs/STATUS.md; docs/fmds-comparison.md; docs/plans/2026-02-02-tmi-trajectory.md; docs/superpowers/specs/2026-03-12-ctp-e26-integration-design.md; wiki/Database-Schema.md; wiki/FMDS-Comparison.md; wiki/GIS-API.md; wiki/Navigation-Helper.md
vw_adl_flights,dbo.vw_adl_flights,19,2,adl/migrations/tmi/008_view_compute_missing_times.sql; adl/migrations/tmi/009_add_gs_flag_eligibility.sql; api/adl/AdlQueryHelper.php; api/adl/diagnostic.php; api/adl/snapshot_history.php; api/demand/summary.php; api/gdt/programs/model.php; api/gdt/programs/reoptimize.php; api/gdt/programs/simulate.php; api/tmi/gdp_apply.php,docs/tmi/GDT_Session_20260121.md; docs/tmi/GS_Eligibility_Fix_Transition.md
vatsim_atis,dbo.vatsim_atis,17,0,adl/migrations/085_atis_runway_schema.sql; adl/migrations/087_atis_tiered_cleanup.sql; adl/migrations/088_atis_batch_import.sql; adl/migrations/089_atis_backfill_reparse.sql; adl/migrations/089_atis_weather_columns.sql; adl/migrations/089_fix_batch_import_stringagg.sql; adl/migrations/090_detected_runway_config.sql; adl/migrations/090_fix_runway_dedup.sql; adl/migrations/091_manual_rate_overrides.sql; adl/migrations/094_fix_stale_atis_combination.sql,
adl_flight_trajectory,dbo.adl_flight_trajectory,16,2,adl/migrations/090_detected_runway_config.sql; adl/migrations/eta/005_sp_ProcessTrajectoryBatch.sql; adl/migrations/eta/006_fix_batch_proc.sql; adl/migrations/eta/008_eta_trajectory_deploy.sql; adl/migrations/eta/010_eta_batch_consolidation.sql; adl/migrations/eta/011_eta_batch_fix.sql; adl/procedures/sp_LogTrajectory.sql; adl/procedures/sp_ProcessTrajectoryBatch.sql; adl/scripts/analyze_storage.sql; adl/scripts/migrate_legacy_to_normalized.sql,docs/plans/2026-02-02-tmi-trajectory.md; wiki/Algorithm-Trajectory-Tiering.md
ctp_flight_control,dbo.ctp_flight_control,16,0,api/ctp/demand.php; api/ctp/flights/assign_edct.php; api/ctp/flights/assign_edct_batch.php; api/ctp/flights/compliance.php; api/ctp/flights/detect.php; api/ctp/flights/exclude.php; api/ctp/flights/get.php; api/ctp/flights/list.php; api/ctp/flights/modify_route.php; api/ctp/flights/remove_edct.php,
ntml,dbo.ntml,16,2,adl/migrations/tmi/002_gs_procedures.sql; adl/migrations/tmi/003_gdt_views.sql; adl/migrations/tmi/004_fix_gs_etd_fallback.sql; adl/migrations/tmi/005_fix_gs_etd_comprehensive.sql; adl/migrations/tmi/006_gs_model_fir_support.sql; adl/migrations/tmi/007_gs_model_fir_exclusions.sql; adl/migrations/tmi/test_gs_workflow.sql; api/adl/AdlQueryHelper.php; api/swim/v1/tmi/programs.php; api/tmi/gs/activate.php,docs/GDT_Unified_Design_Document_v1.md; docs/tmi/SESSION_TRANSITION_20260117.md
tmi_advisories,dbo.tmi_advisories; tmi_advisories,16,22,api/data/review/tmr_tmis.php; api/mgt/tmi/active.php; api/mgt/tmi/cancel.php; api/mgt/tmi/edit.php; api/mgt/tmi/promote.php; api/mgt/tmi/publish.php; api/mgt/tmi/queue.php; api/mgt/tmi/staged.php; api/swim/v1/tmi/advisories.php; api/tmi/advisories.php,docs/CANOC_ADVISORY_INTEGRATION.md; docs/COMPUTATIONAL_REFERENCE.md; docs/QUICK_REFERENCE.md; docs/STATUS.md; docs/fmds-comparison.md; docs/gdt-tmi-workflow-plan.md; docs/plans/2026-02-11-gdt-workflow-enhancement-design.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; docs/tmi/ARCHITECTURE.md
tracon_boundaries,tracon_boundaries,16,10,api/mgt/playbook/save.php; database/migrations/postgis/001_boundaries_schema.sql; database/migrations/postgis/002_extended_functions.sql; database/migrations/postgis/003_airports_table.sql; database/migrations/postgis/route_analysis_function.sql; load/services/GISService.php; scripts/playbook/recompute_traversed.php; scripts/postgis/005_batch_route_functions.sql; scripts/postgis/006_batch_boundary_detection.sql; scripts/postgis/007_batch_sector_detection.sql,docs/COMPUTATIONAL_REFERENCE.md; docs/DEPLOYMENT_GUIDE.md; docs/STATUS.md; docs/fmds-comparison.md; docs/superpowers/specs/2026-03-12-ctp-e26-integration-design.md; wiki/Database-Schema.md; wiki/FMDS-Comparison.md; wiki/GIS-API.md; wiki/Navigation-Helper.md; wiki/Troubleshooting.md
sector_boundaries,sector_boundaries,15,9,api/mgt/playbook/save.php; database/migrations/postgis/001_boundaries_schema.sql; database/migrations/postgis/002_extended_functions.sql; load/services/GISService.php; scripts/playbook/recompute_traversed.php; scripts/postgis/005_batch_route_functions.sql; scripts/postgis/006_batch_boundary_detection.sql; scripts/postgis/007_batch_sector_detection.sql; scripts/postgis/008_trajectory_crossings.sql; scripts/postgis/009_boundary_adjacency_network.sql,docs/COMPUTATIONAL_REFERENCE.md; docs/DEPLOYMENT_GUIDE.md; docs/fmds-comparison.md; docs/superpowers/specs/2026-03-12-ctp-e26-integration-design.md; wiki/Database-Schema.md; wiki/FMDS-Comparison.md; wiki/GIS-API.md; wiki/Navigation-Helper.md; wiki/Splits.md
tmi_events,dbo.tmi_events,15,1,api/gdt/programs/active.php; api/gdt/programs/purge.php; api/gdt/programs/revise.php; api/gdt/programs/transition.php; api/mgt/tmi/cancel.php; api/mgt/tmi/edit.php; api/tmi/gs/get.php; database/migrations/tmi/001_tmi_core_schema_azure_sql.sql; database/migrations/tmi/006_create_core_procedures.sql; database/migrations/tmi/007_create_rbs_and_popup_procedures.sql,docs/tmi/DATABASE.md
adl_parse_queue,dbo.adl_parse_queue,14,2,adl/migrations/086_parse_queue_cleanup.sql; adl/migrations/086b_fix_retention.sql; adl/migrations/backfill/backfill_quick_v43.sql; adl/migrations/backfill/backfill_reparse_v43.sql; adl/php/cleanup_queue.php; adl/php/parse_queue_daemon.php; adl/php/parse_queue_gis_daemon.php; adl/procedures/diagnostic_check.sql; adl/procedures/sp_ParseQueue.sql; adl/procedures/sp_ParseRoute.sql,docs/adl-ingest-outage-2026-02-17-claude-brief.md; wiki/Algorithm-Route-Parsing.md
adl_flight_changelog,dbo.adl_flight_changelog,13,1,adl/migrations/changelog/000_deploy_changelog_system.sql; adl/migrations/changelog/002_trigger_flight_core.sql; adl/migrations/changelog/003_fix_flight_status_reference.sql; adl/migrations/changelog/003_trigger_flight_plan.sql; adl/migrations/changelog/004_trigger_flight_times.sql; adl/migrations/changelog/005_trigger_aircraft_tmi.sql; adl/migrations/changelog/006_utility_procedures.sql; adl/scripts/analyze_storage.sql; adl/scripts/sp_ArchiveChangelog_Enhanced.sql; api/gdt/programs/fairness.php,docs/adl-ingest-outage-2026-02-17-claude-brief.md
aircraft_performance_profiles,dbo.aircraft_performance_profiles,13,0,adl/migrations/eta/002_fix_aircraft_profiles.sql; adl/migrations/eta/003_seed_missing_profiles.sql; adl/migrations/eta/004_fix_sp_CalculateETA.sql; adl/migrations/eta/007_eta_trajectory_seed_data.sql; adl/migrations/eta/008_eta_trajectory_deploy.sql; adl/migrations/eta/009_deploy_eta_trajectory_system.sql; adl/migrations/performance/001_aircraft_performance_seed.sql; adl/migrations/performance/002_bada_import_infrastructure.sql; adl/migrations/performance/003_openap_aircraft_import.sql; adl/procedures/fn_GetAircraftPerformance.sql,
coded_departure_routes,dbo.coded_departure_routes,13,2,adl/migrations/ref/002_initial_data_load.sql; adl/reference_data/generate_sql_v4.php; adl/reference_data/import_cdrs.php; adl/reference_data/sql_output/03_cdrs.sql; adl/scripts/sync_ref_to_adl.sql; api/ctp/routes/suggest.php; api/nod/flows/elements.php; api/simulator/routes.php; api/simulator/traffic.php; database/migrations/adl/022_cdr_artcc_columns.sql,docs/superpowers/specs/2026-03-13-swim-playbook-cdr-routes-design.md; wiki/AIRAC-Update.md
p_configs,p_configs,13,7,api/analysis/perti_events.php; api/data/plans/configs.php; api/data/review/tmr_report.php; api/data/review/tmr_weather.php; api/data/sheet/configs.php; api/mgt/configs/delete.php; api/mgt/configs/fill.php; api/mgt/configs/post.php; api/mgt/configs/update.php; api/mgt/tmi/configs.php,docs/DEPLOYMENT_GUIDE.md; docs/fmds-comparison.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; wiki/Architecture.md; wiki/FMDS-Comparison.md; wiki/Navigation-Helper.md
user_orgs,user_orgs,13,3,api/data/personnel.php; api/data/playbook/acl.php; api/data/playbook/org_members.php; api/data/playbook/user_search.php; api/mgt/personnel/post.php; api/mgt/personnel/update_org.php; database/migrations/org/001_create_organizations.sql; database/migrations/org/006_add_global_role.sql; database/migrations/org/007_rename_vatcan_to_canoc.sql; database/migrations/org/009_add_global_organization.sql,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md
vatusa_event_airport,dbo.vatusa_event_airport,13,0,adl/migrations/079_event_aar_from_config.sql; adl/migrations/079_event_aar_from_flights.sql; adl/migrations/080_event_aar_no_defaults.sql; adl/migrations/087_atis_tiered_cleanup.sql; adl/migrations/stats/005_vatusa_event_stats.sql; adl/migrations/stats/007_vatusa_event_computed_columns.sql; api/event-aar/list.php; api/event-aar/update.php; event-aar.php; scripts/statsim/074_vatusa_event_import.sql,
adl_flight_planned_crossings,dbo.adl_flight_planned_crossings,12,0,adl/migrations/crossings/004_forecast_views.sql; adl/migrations/crossings/DEPLOY_ALL_CROSSINGS.sql; adl/migrations/crossings/FIX_COLUMN_NAMES.sql; adl/php/crossing_gis_daemon.php; adl/procedures/diagnostic_boundary_crossings.sql; adl/procedures/sp_CalculatePlannedCrossings.sql; adl/procedures/sp_CalculatePlannedCrossingsBatch.sql; adl/procedures/sp_CalculatePlannedCrossingsBatch_v2.sql; adl/procedures/sp_ProcessBoundaryAndCrossings_Background.sql; api/ctp/flights/detect.php,
swim_api_keys,dbo.swim_api_keys,12,3,api/swim/v1/auth.php; api/swim/v1/health.php; api/swim/v1/keys/provision.php; api/swim/v1/keys/revoke.php; api/swim/v1/playbook/plays.php; api/swim/v1/ws/WebSocketServer.php; database/migrations/swim/001_swim_tables.sql; database/migrations/swim/002_swim_api_database.sql; database/migrations/swim/003_swim_api_database_fixed.sql; database/migrations/swim/018_swim_simtraffic_api_key.sql,docs/swim/SWIM_Phase2_Phase3_Transition.md; docs/swim/VATSWIM_API_Documentation.md; docs/swim/VATSWIM_Release_Documentation.md
vatusa_event,dbo.vatusa_event,12,0,adl/migrations/079_event_aar_from_config.sql; adl/migrations/079_event_aar_from_flights.sql; adl/migrations/080_event_aar_no_defaults.sql; adl/migrations/087_atis_tiered_cleanup.sql; adl/migrations/stats/005_vatusa_event_stats.sql; adl/migrations/stats/007_vatusa_event_computed_columns.sql; api/event-aar/list.php; event-aar.php; scripts/statsim/074_vatusa_event_import.sql; scripts/statsim/074_vatusa_event_import_1_events.sql,
adl_zone_events,dbo.adl_zone_events,11,1,adl/migrations/oooi/002_oooi_deploy.sql; adl/migrations/oooi/004_oooi_batch_v2.sql; adl/migrations/oooi/005_oooi_verify.sql; adl/migrations/oooi/006_zone_detection_arrival_fix.sql; adl/migrations/oooi/007_oooi_batch_v3.sql; adl/migrations/oooi/008_oooi_verify_v2.sql; adl/procedures/sp_DetectZoneTransition.sql; adl/procedures/sp_ProcessZoneDetectionBatch.sql; adl/procedures/sp_ProcessZoneDetectionBatch_Tiered.sql; adl/procedures/sp_ProcessZoneDetectionBatch_v3.sql,wiki/Algorithm-Zone-Detection.md
nav_procedures,dbo.nav_procedures,11,2,adl/migrations/cifp/002_cifp_import_procedure.sql; adl/migrations/navdata/005_fix_star_computer_codes.sql; adl/migrations/ref/002_initial_data_load.sql; adl/procedures/sp_ParseRoute.sql; adl/reference_data/generate_sql_v4.php; adl/reference_data/import_procedures.php; adl/reference_data/sql_output/05_procedures.sql; adl/scripts/sync_ref_to_adl.sql; api/nod/flows/elements.php; api/nod/flows/suggestions.php,docs/plans/2026-02-16-holding-detection.md; wiki/AIRAC-Update.md
playbook_changelog,playbook_changelog,11,8,api/data/playbook/changelog.php; api/mgt/playbook/acl.php; api/mgt/playbook/delete.php; api/mgt/playbook/route.php; api/mgt/playbook/save.php; lib/Changelog.php; scripts/playbook/import_atc_zero.php; scripts/playbook/import_cadena_pasa.php; scripts/playbook/import_faa_to_db.php; scripts/playbook/import_historical_to_db.php,docs/superpowers/specs/2026-03-12-ctp-e26-integration-design.md; wiki/API-Reference.md; wiki/Architecture.md; wiki/Changelog.md; wiki/Data-Flow.md; wiki/Database-Schema.md; wiki/Navigation-Helper.md; wiki/Playbook.md
tmi_public_routes,dbo.tmi_public_routes; tmi_public_routes,11,10,api/ctp/routes/suggest.php; api/mgt/tmi/active.php; api/mgt/tmi/cancel.php; api/mgt/tmi/coordinate.php; api/swim/v1/tmi/routes.php; api/tmi/public-routes.php; database/migrations/tmi/001_tmi_core_schema_azure_sql.sql; database/migrations/tmi/013_migrate_public_routes.sql; database/migrations/tmi/cleanup_test_data.sql; scripts/tmi/cleanup_test_data.php,docs/QUICK_REFERENCE.md; docs/STATUS.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; docs/tmi/ARCHITECTURE.md; docs/tmi/COST_ANALYSIS.md; docs/tmi/DATABASE.md; docs/tmi/README.md; wiki/Database-Schema.md; wiki/Route-Plotter.md
vw_airport_config_summary,dbo.vw_airport_config_summary,11,1,adl/migrations/089_atis_weather_columns.sql; adl/migrations/090_detected_runway_config.sql; adl/migrations/091_manual_rate_overrides.sql; adl/migrations/095_atis_type_priority.sql; api/data/configs.php; api/data/plans/configs.php; api/data/sheet/configs.php; api/demand/config_search.php; api/demand/configs.php; api/mgt/tmi/airport_configs.php,docs/tmi/TMI_Publisher_v1.8.0_Transition.md
adl_boundary_grid,adl_boundary_grid; dbo.adl_boundary_grid,10,5,adl/migrations/boundaries/009_boundary_grid_lookup.sql; adl/migrations/boundaries/009b_populate_all_boundary_grids.sql; adl/migrations/crossings/DEPLOY_ALL_CROSSINGS.sql; adl/procedures/diagnostic_boundary_crossings.sql; adl/procedures/sp_CalculatePlannedCrossings.sql; adl/procedures/sp_CalculatePlannedCrossingsBatch_v2.sql; adl/procedures/sp_ProcessBoundaryAndCrossings_Background.sql; adl/procedures/sp_ProcessBoundaryDetectionBatch.sql; adl/procedures/sp_ProcessBoundaryDetectionBatch_v2.sql; api/stats/boundary_debug.php,docs/COMPUTATIONAL_REFERENCE.md; docs/fmds-comparison.md; docs/planned_crossings_performance.md; wiki/FMDS-Comparison.md; wiki/Troubleshooting.md
airways,dbo.airways,10,1,adl/migrations/navdata/004_xplane_navdata_import.sql; adl/migrations/ref/002_initial_data_load.sql; adl/procedures/sp_ParseRoute.sql; adl/reference_data/generate_sql_v4.php; adl/reference_data/import_airways.php; adl/reference_data/sql_output/02_airways.sql; adl/scripts/sync_ref_to_adl.sql; api/adl/airway.php; api/nod/flows/elements.php; status.php,wiki/AIRAC-Update.md
