table_base,variants,code_ref_count,doc_wiki_ref_count,sample_code_refs,sample_doc_wiki_refs
atis_config_history,dbo.atis_config_history,10,0,adl/migrations/079_event_aar_from_config.sql; adl/migrations/080_event_aar_no_defaults.sql; adl/migrations/085_atis_runway_schema.sql; adl/migrations/087_atis_tiered_cleanup.sql; adl/migrations/088_atis_batch_import.sql; adl/migrations/089_atis_backfill_reparse.sql; adl/migrations/089_fix_batch_import_stringagg.sql; adl/migrations/090_fix_runway_dedup.sql; adl/migrations/096_atis_reparse_kmia_patterns.sql; scripts/cdm_daemon.php,
flight_phase_snapshot,dbo.flight_phase_snapshot,10,0,adl/migrations/stats/012_flight_phase_snapshot.sql; adl/migrations/stats/012b_backfill_phase_snapshots.sql; adl/migrations/stats/012c_rebackfill_snapshots.sql; adl/migrations/stats/012d_fix_phase_snapshot.sql; adl/migrations/stats/012e_backfill_with_ratios.sql; adl/migrations/stats/013_snapshot_gap_backfill.sql; api/stats/flight_phase_history.php; api/stats/snapshot_debug.php; scripts/vatsim_adl_daemon.php; status.php,
vatusa_event_hourly,dbo.vatusa_event_hourly,10,0,adl/migrations/stats/007_vatusa_event_computed_columns.sql; adl/migrations/stats/009_fix_computed_formulas.sql; adl/migrations/stats/010_complete_computed_formulas.sql; adl/migrations/stats/011_extended_analytics.sql; api/event-aar/list.php; api/event-aar/update.php; event-aar.php; scripts/statsim/074_vatusa_event_import.sql; scripts/statsim/074_vatusa_event_import_3_hourly_01.sql; scripts/statsim/074_vatusa_event_import_RUN_ALL.sql,
adl_flight_boundary_log,adl_flight_boundary_log; dbo.adl_flight_boundary_log,9,4,adl/migrations/boundaries/003_boundary_import_procedure.sql; adl/migrations/stats/002_flight_stats_procedures.sql; adl/php/boundary_gis_daemon.php; adl/procedures/diagnostic_boundary_crossings.sql; adl/procedures/sp_ProcessBoundaryAndCrossings_Background.sql; adl/procedures/sp_ProcessBoundaryDetectionBatch.sql; adl/procedures/sp_ProcessBoundaryDetectionBatch_v2.sql; api/stats/boundary_debug.php; status.php,docs/AZURE_COST_OPTIMIZATION_ANALYSIS.md; docs/COMPUTATIONAL_REFERENCE.md; docs/plans/2026-02-02-adl-raw-data-lake-design.md; wiki/Navigation-Helper.md
airport_geometry,dbo.airport_geometry,9,1,adl/migrations/oooi/002_oooi_deploy.sql; adl/migrations/oooi/003_seed_airport_zones.sql; adl/php/import_osm_airport_geometry.php; adl/php/import_osm_web.php; adl/procedures/fn_DetectCurrentZone.sql; adl/procedures/sp_ImportAirportGeometry.sql; adl/procedures/sp_ProcessZoneDetectionBatch.sql; adl/procedures/sp_ProcessZoneDetectionBatch_Tiered.sql; adl/procedures/sp_ProcessZoneDetectionBatch_v3.sql,wiki/Algorithm-Zone-Detection.md
airports,airports; dbo.airports,9,2,api/tmi/gdp_preview.php; api/tmi/gdp_simulate.php; database/migrations/postgis/002_extended_functions.sql; database/migrations/postgis/003_airports_table.sql; database/migrations/postgis/004_fix_disambiguation.sql; database/migrations/postgis/route_analysis_function.sql; scripts/postgis/004_route_expansion_functions.sql; scripts/postgis/016_hierarchy_filter_functions.sql; status.php,wiki/Database-Schema.md; wiki/Navigation-Helper.md
ctp_sessions,dbo.ctp_sessions,9,0,api/ctp/common.php; api/ctp/flights/detect.php; api/ctp/sessions/activate.php; api/ctp/sessions/complete.php; api/ctp/sessions/create.php; api/ctp/sessions/list.php; api/ctp/sessions/update.php; database/migrations/tmi/045_ctp_oceanic_schema.sql; scripts/vatsim_adl_daemon.php,
p_terminal_init_times,p_terminal_init_times,9,3,api/data/plans/term_inits.php; api/data/plans/term_inits_bu.php; api/mgt/terminal_init_times/create.php; api/mgt/terminal_inits/delete.php; api/mgt/terminal_inits/times/create.php; api/mgt/terminal_inits/times/delete.php; api/mgt/terminal_inits/times/post.php; api/mgt/terminal_inits/times/set.php; api/mgt/terminal_inits/times/update.php,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md
perti_events,dbo.perti_events,9,1,api/events/list.php; api/events/sync.php; database/migrations/adl/002_create_perti_events.sql; database/migrations/adl/003_fix_event_types.sql; database/migrations/adl/003a_fix_constraint.sql; database/migrations/adl/004_create_event_position_log.sql; database/migrations/adl/013_compute_tmi_tier.sql; database/migrations/adl/015_tmi_trajectory_view.sql; scripts/sync_perti_events.php,docs/plans/2026-02-02-tmi-trajectory.md
swim_audit_log,dbo.swim_audit_log,9,2,api/swim/v1/auth.php; api/swim/v1/health.php; api/swim/v1/keys/provision.php; api/swim/v1/keys/revoke.php; database/migrations/swim/001_swim_tables.sql; database/migrations/swim/002_swim_api_database.sql; database/migrations/swim/003_swim_api_database_fixed.sql; scripts/swim_cleanup.php; status.php,docs/swim/VATSWIM_API_Documentation.md; docs/swim/VATSWIM_Release_Documentation.md
airport_weather_impact,dbo.airport_weather_impact,8,0,adl/migrations/080_airport_config_schema.sql; adl/migrations/080_event_aar_no_defaults.sql; adl/migrations/089_atis_weather_columns.sql; adl/migrations/090_detected_runway_config.sql; adl/migrations/091_manual_rate_overrides.sql; adl/migrations/095_atis_type_priority.sql; api/data/configs.php; api/data/weather_impacts.php,
airway_segments,dbo.airway_segments,8,0,adl/migrations/navdata/004_xplane_navdata_import.sql; adl/migrations/ref/002_initial_data_load.sql; adl/reference_data/generate_sql_v4.php; adl/reference_data/import_airways.php; adl/reference_data/sql_output/02_airways.sql; adl/scripts/sync_ref_to_adl.sql; api/adl/airway.php; api/adl/demand/batch.php,
config_modifier,dbo.config_modifier,8,0,adl/migrations/092_config_modifiers_schema.sql; adl/migrations/093_config_modifiers_data_migration.sql; adl/migrations/093a_fix_config_modifier_runway_id.sql; adl/migrations/093b_normalize_remaining_runway_ids.sql; adl/migrations/093c_fix_edge_case_runway_ids.sql; api/data/configs.php; api/mgt/config_data/post.php; api/mgt/config_data/update.php,
p_dcc_staffing,p_dcc_staffing,8,4,api/data/plans/dcc_staffing.php; api/data/review/tmr_staffing.php; api/data/sheet/dcc_staffing.php; api/mgt/dcc/delete.php; api/mgt/dcc/post.php; api/mgt/dcc/update.php; api/mgt/plan/get.php; api/user/dcc/update.php,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; wiki/Navigation-Helper.md
p_enroute_init_times,p_enroute_init_times,8,3,api/data/plans/enroute_inits.php; api/mgt/enroute_initializations/delete.php; api/mgt/enroute_initializations/times/create.php; api/mgt/enroute_initializations/times/delete.php; api/mgt/enroute_initializations/times/post.php; api/mgt/enroute_initializations/times/set.php; api/mgt/enroute_initializations/times/update.php; api/mgt/terminal_init_times/set.php,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md
p_terminal_init,p_terminal_init,8,4,api/data/plans/term_inits.php; api/data/plans/term_inits_bu.php; api/mgt/plan/get.php; api/mgt/terminal_inits/delete.php; api/mgt/terminal_inits/post.php; api/mgt/terminal_inits/update.php; api/statsim/fetch.php; api/statsim/plan_info.php,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; wiki/Architecture.md
public_routes,dbo.public_routes,8,0,api/mgt/tmi/reroutes/update_geojson.php; api/routes/public.php; api/routes/public_delete.php; api/routes/public_update.php; api/simulator/routes.php; api/simulator/traffic.php; database/migrations/schema/002_public_routes.sql; database/migrations/tmi/013_migrate_public_routes.sql,
runway_in_use,dbo.runway_in_use,8,0,adl/migrations/085_atis_runway_schema.sql; adl/migrations/088_atis_batch_import.sql; adl/migrations/089_atis_backfill_reparse.sql; adl/migrations/089_fix_batch_import_stringagg.sql; adl/migrations/090_fix_runway_dedup.sql; adl/migrations/094_fix_stale_atis_combination.sql; adl/migrations/095_atis_type_priority.sql; adl/migrations/096_atis_reparse_kmia_patterns.sql,
tmi_flow_providers,dbo.tmi_flow_providers,8,0,api/swim/v1/tmi/flow/events.php; api/swim/v1/tmi/flow/index.php; api/swim/v1/tmi/flow/measures.php; api/swim/v1/tmi/flow/providers.php; api/swim/v1/tmi/measures.php; scripts/ecfmp_poll_daemon.php; scripts/vacdm_poll_daemon.php; sql/migrations/20260117_add_flow_tables.sql,
tmi_proposals,dbo.tmi_proposals; tmi_proposals,8,14,api/gdt/programs/publish.php; api/gdt/programs/submit_proposal.php; api/mgt/tmi/cancel.php; api/mgt/tmi/coordinate.php; api/swim/v1/tmi/routes.php; cron/process_tmi_proposals.php; database/migrations/tmi/020_tmi_proposals.sql; database/migrations/tmi/cleanup_test_data.sql,docs/QUICK_REFERENCE.md; docs/STATUS.md; docs/fmds-comparison.md; docs/gdt-tmi-workflow-plan.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; docs/tmi/ANNOUNCEMENT_TMI_COORDINATION.md; docs/tmi/ANNOUNCEMENT_TMI_COORDINATION_DISCORD.md; docs/tmi/ARCHITECTURE.md; docs/tmi/DATABASE.md
adl_flights_history,dbo.adl_flights_history,7,0,adl/migrations/079_event_aar_from_flights.sql; adl/scripts/migrate_legacy_to_normalized.sql; adl/scripts/migrate_trajectory_parallel.sql; adl/scripts/migrate_trajectory_simple.sql; api/adl/snapshot_history.php; api/nod/tracks.php; database/migrations/schema/001_adl_history_stored_procedure.sql,
p_enroute_staffing,p_enroute_staffing,7,4,api/data/plans/enroute_staffing.php; api/data/review/tmr_staffing.php; api/data/sheet/enroute_staffing.php; api/mgt/enroute_staffing/delete.php; api/mgt/enroute_staffing/post.php; api/mgt/enroute_staffing/update.php; api/user/enroute_staffing/update.php,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; wiki/Navigation-Helper.md
p_terminal_staffing,p_terminal_staffing,7,4,api/data/plans/term_staffing.php; api/data/review/tmr_staffing.php; api/data/sheet/term_staffing.php; api/mgt/terminal_staffing/delete.php; api/mgt/terminal_staffing/post.php; api/mgt/terminal_staffing/update.php; api/user/term_staffing/update.php,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; wiki/Navigation-Helper.md
splits_configs,dbo.splits_configs; splits_configs,7,6,api/scheduler.php; api/splits/active.php; api/splits/configs.php; api/splits/debug.php; api/splits/scheduled.php; api/splits/test.php; database/migrations/schema/007_splits_configs_updated_at.sql,docs/fmds-comparison.md; wiki/Architecture.md; wiki/Data-Flow.md; wiki/Database-Schema.md; wiki/FMDS-Comparison.md; wiki/Splits.md
sua_activations,sua_activations,7,2,api/data/sua/activations.l.php; api/data/sua/activations.php; api/mgt/sua/activate.php; api/mgt/sua/altrv_create.php; api/mgt/sua/delete.php; api/mgt/sua/tfr_create.php; api/mgt/sua/update.php,docs/fmds-comparison.md; wiki/FMDS-Comparison.md
tmi_discord_posts,dbo.tmi_discord_posts,7,1,api/mgt/tmi/promote.php; api/mgt/tmi/publish.php; api/mgt/tmi/queue.php; api/mgt/tmi/staged.php; database/migrations/tmi/016_tmi_discord_posts.sql; database/migrations/tmi/cleanup_test_data.sql; scripts/tmi/process_discord_queue.php,docs/tmi/Unified_TMI_Publisher_Design.md
tmi_flow_events,dbo.tmi_flow_events,7,0,api/ctp/sessions/create.php; api/ctp/sessions/get.php; api/ctp/sessions/list.php; api/swim/v1/tmi/flow/events.php; api/swim/v1/tmi/flow/measures.php; api/swim/v1/tmi/measures.php; sql/migrations/20260117_add_flow_tables.sql,
tmi_reroute_flights,dbo.tmi_reroute_flights; tmi_reroute_flights,7,8,api/data/tmi/reroute.php; api/mgt/tmi/reroutes/bulk.php; api/mgt/tmi/reroutes/delete.php; api/swim/v1/tmi/reroutes.php; api/tmi/reroutes.php; database/migrations/tmi/cleanup_test_data.sql; scripts/tmi/cleanup_test_data.php,docs/QUICK_REFERENCE.md; docs/STATUS.md; docs/tmi/ARCHITECTURE.md; docs/tmi/COST_ANALYSIS.md; docs/tmi/DATABASE.md; docs/tmi/README.md; wiki/Database-Schema.md; wiki/Navigation-Helper.md
tmi_reroute_routes,dbo.tmi_reroute_routes,7,0,api/ctp/routes/suggest.php; api/mgt/tmi/coordinate.php; api/mgt/tmi/reroutes/post.php; api/nod/tmi_active.php; api/swim/v1/tmi/reroutes.php; api/swim/v1/tmi/routes.php; scripts/tmi/import_historical.php,
vw_current_runways_in_use,dbo.vw_current_runways_in_use,7,0,adl/migrations/085_atis_runway_schema.sql; adl/migrations/089_atis_weather_columns.sql; adl/migrations/090_detected_runway_config.sql; adl/migrations/091_manual_rate_overrides.sql; adl/migrations/094_fix_stale_atis_combination.sql; adl/migrations/095_atis_type_priority.sql; api/demand/atis.php,
weather_alerts,dbo.weather_alerts,7,0,adl/migrations/weather/001_weather_alerts_schema.sql; adl/migrations/weather/002_weather_impact_detection.sql; adl/migrations/weather/003_weather_refresh_integration.sql; adl/migrations/weather/004_fix_weather_polygon_orientation.sql; api/weather/alerts.php; api/weather/impact.php; status.php,
wind_grid,dbo.wind_grid,7,0,adl/analysis/eta_wind_accuracy_analysis.sql; adl/analysis/eta_wind_accuracy_report.php; adl/migrations/wind/001_wind_grid_schema.sql; adl/migrations/wind/002_eta_wind_integration.sql; adl/procedures/sp_GetFlightWindAdjustment.sql; adl/procedures/sp_UpdateFlightWindAdjustments.sql; adl/procedures/sp_UpdateFlightWindAdjustments_V2.sql,
adl_flights_gdp,dbo.adl_flights_gdp,6,0,adl/migrations/tmi/005_gdt_sandbox_tables.sql; api/tmi/gdp_apply.php; api/tmi/gdp_purge.php; api/tmi/gdp_purge_local.php; api/tmi/gdp_simulate.php; database/migrations/gdp/001_gdp_tables.sql,
adl_flights_gs,dbo.adl_flights_gs,6,0,adl/migrations/tmi/005_gdt_sandbox_tables.sql; api/tmi/gs_apply.php; api/tmi/gs_purge_all.php; api/tmi/gs_purge_local.php; api/tmi/gs_simulate.php; database/migrations/gdp/001_gdp_tables.sql,
flight_stats_job_config,dbo.flight_stats_job_config,6,0,adl/migrations/oooi/010_airport_taxi_reference.sql; adl/migrations/oooi/011_airport_connect_reference.sql; adl/migrations/stats/003_flight_stats_agent_jobs.sql; adl/migrations/stats/004_flight_stats_carrier_domestic.sql; adl/migrations/stats/004_flight_stats_trends.sql; adl/migrations/stats/005_vatusa_event_stats.sql,
p_op_goals,p_op_goals,6,4,api/data/plans/goals.php; api/data/review/tmr_ops_plan.php; api/mgt/goals/delete.php; api/mgt/goals/post.php; api/mgt/goals/update.php; api/mgt/plan/get.php,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; wiki/Navigation-Helper.md
tmi_popup_queue,dbo.tmi_popup_queue,6,0,database/migrations/tmi/005_create_views.sql; database/migrations/tmi/007_create_rbs_and_popup_procedures.sql; database/migrations/tmi/011_create_gdt_views.sql; database/migrations/tmi/012_create_gdt_procedures.sql; database/migrations/tmi/037_gdp_phase1_fix_and_wire.sql; database/migrations/tmi/038_gdp_phase2_fpfs_rbd.sql,
tmi_proposal_facilities,dbo.tmi_proposal_facilities,6,0,api/gdt/programs/submit_proposal.php; api/mgt/tmi/coordinate.php; api/swim/v1/tmi/routes.php; cron/process_tmi_proposals.php; database/migrations/tmi/020_tmi_proposals.sql; database/migrations/tmi/cleanup_test_data.sql,
vw_airport_config_rates,dbo.vw_airport_config_rates,6,1,api/data/configs.php; api/data/plans/configs.php; api/data/sheet/configs.php; api/demand/config_search.php; api/demand/configs.php; api/mgt/tmi/airport_configs.php,docs/tmi/TMI_Publisher_v1.8.0_Transition.md
ACD_Data,dbo.ACD_Data,5,0,adl/migrations/navdata/006_simbrief_refresh_integration.sql; adl/procedures/sp_Adl_RefreshFromVatsim_Normalized.sql; adl/procedures/sp_Adl_RefreshFromVatsim_Staged.sql; adl/reference_data/sql_output/06_acd_data.sql; database/migrations/schema/005_acd_data_full_schema.sql,
adl_flights,dbo.adl_flights,5,0,adl/migrations/097_adl_fixm_time_columns.sql; api/tmi/gdp_purge.php; api/tmi/gs_purge_all.php; database/migrations/schema/001_adl_history_stored_procedure.sql; database/migrations/swim/001_swim_tables.sql,
adl_region_group,dbo.adl_region_group,5,0,adl/migrations/crossings/003_populate_priority_region.sql; adl/migrations/crossings/DEPLOY_ALL_CROSSINGS.sql; adl/migrations/crossings/FIX_COLUMN_NAMES.sql; adl/procedures/diagnostic_boundary_crossings.sql; adl/procedures/sp_DetectRegionalFlight.sql,
adl_tmi_trajectory,dbo.adl_tmi_trajectory,5,1,database/migrations/adl/014_archive_tmi_aware.sql; database/migrations/adl/015_tmi_trajectory_view.sql; database/migrations/adl/016_tmi_trajectory_purge.sql; database/migrations/adl/016_tmi_trajectory_view_v2.sql; scripts/archival_daemon.php,docs/plans/2026-02-02-tmi-trajectory.md
adl_trajectory_archive,dbo.adl_trajectory_archive,5,2,database/migrations/adl/014_archive_tmi_aware.sql; database/migrations/adl/015_tmi_trajectory_view.sql; database/migrations/adl/016_tmi_trajectory_view_v2.sql; database/migrations/archive/ADL_Archive_FULL_DEPLOYMENT.sql; scripts/archival_daemon.php,docs/plans/2026-02-02-adl-raw-data-lake-design.md; docs/plans/2026-02-02-tmi-trajectory.md
airlines,dbo.airlines,5,0,adl/migrations/core/006_airlines_table.sql; adl/migrations/navdata/006_simbrief_refresh_integration.sql; adl/migrations/stats/004_flight_stats_carrier_domestic.sql; adl/procedures/sp_Adl_RefreshFromVatsim_Normalized.sql; adl/procedures/sp_Adl_RefreshFromVatsim_Staged.sql,
airport_geometry_import_log,dbo.airport_geometry_import_log,5,0,adl/migrations/oooi/002_oooi_deploy.sql; adl/migrations/oooi/003_seed_airport_zones.sql; adl/php/import_osm_airport_geometry.php; adl/php/import_osm_web.php; adl/procedures/sp_ImportAirportGeometry.sql,
artcc_facilities,dbo.artcc_facilities,5,0,adl/migrations/topology/001_artcc_topology_schema.sql; adl/migrations/topology/002_artcc_topology_seed.sql; adl/migrations/topology/verify_tiers.sql; api/demand/airports.php; api/tiers.php,
artcc_tier_group_members,dbo.artcc_tier_group_members,5,0,adl/migrations/topology/001_artcc_topology_schema.sql; adl/migrations/topology/002_artcc_topology_seed.sql; adl/migrations/topology/verify_tiers.sql; api/demand/airports.php; api/tiers.php,
assigned,assigned,5,0,api/data/schedule.php; api/mgt/schedule/delete.php; api/mgt/schedule/delete_bu.php; api/mgt/schedule/post.php; api/mgt/schedule/update.php,
boundary_hierarchy,boundary_hierarchy,5,0,adl/migrations/boundaries/012_boundary_hierarchy.sql; adl/php/import_boundaries.php; api/adl/boundaries.php; api/adl/import_boundaries.php; scripts/postgis/015_boundary_hierarchy.sql,
ctp_audit_log,dbo.ctp_audit_log,5,1,api/ctp/audit_log.php; api/ctp/changelog.php; api/ctp/common.php; api/ctp/flights/get.php; lib/Changelog.php,docs/superpowers/specs/2026-03-12-ctp-e26-integration-design.md
facility_tier_config_members,dbo.facility_tier_config_members,5,0,adl/migrations/topology/001_artcc_topology_schema.sql; adl/migrations/topology/002_artcc_topology_seed.sql; adl/migrations/topology/verify_tiers.sql; api/demand/airports.php; api/tiers.php,
facility_tier_configs,dbo.facility_tier_configs,5,0,adl/migrations/topology/001_artcc_topology_schema.sql; adl/migrations/topology/002_artcc_topology_seed.sql; adl/migrations/topology/verify_tiers.sql; api/demand/airports.php; api/tiers.php,
flight_stats_airport,dbo.flight_stats_airport,5,0,adl/migrations/stats/001_flight_stats_schema.sql; adl/migrations/stats/002_flight_stats_procedures.sql; adl/migrations/stats/004_flight_stats_carrier_domestic.sql; adl/migrations/stats/004_flight_stats_trends.sql; api/stats/StatsHelper.php,
flight_stats_hourly,dbo.flight_stats_hourly,5,0,adl/migrations/stats/001_flight_stats_schema.sql; adl/migrations/stats/002_flight_stats_procedures.sql; adl/migrations/stats/004_flight_stats_carrier_domestic.sql; adl/migrations/stats/004_flight_stats_trends.sql; api/stats/StatsHelper.php,
gdp_log,dbo.gdp_log,5,0,api/nod/tmi_active.php; api/swim/v1/tmi/programs.php; api/tmi/gdp_apply.php; api/tmi/gdp_purge.php; api/tmi/gdp_purge_local.php,
ntml_info,dbo.ntml_info,5,1,adl/migrations/tmi/002_gs_procedures.sql; adl/migrations/tmi/006_gs_model_fir_support.sql; adl/migrations/tmi/007_gs_model_fir_exclusions.sql; adl/migrations/tmi/test_gs_workflow.sql; api/tmi/gs/activate.php,docs/GDT_Unified_Design_Document_v1.md
p_enroute_constraints,p_enroute_constraints,5,3,api/data/plans/enroute_constraints.php; api/mgt/enroute_constraints/delete.php; api/mgt/enroute_constraints/post.php; api/mgt/enroute_constraints/update.php; api/mgt/plan/get.php,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md
p_enroute_init,p_enroute_init,5,4,api/data/plans/enroute_inits.php; api/mgt/enroute_initializations/delete.php; api/mgt/enroute_initializations/post.php; api/mgt/enroute_initializations/update.php; api/mgt/plan/get.php,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; wiki/Architecture.md
p_group_flights,p_group_flights,5,3,api/data/plans/group_flights.php; api/mgt/group_flights/delete.php; api/mgt/group_flights/post.php; api/mgt/group_flights/update.php; api/mgt/plan/get.php,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md
p_terminal_constraints,p_terminal_constraints,5,3,api/data/plans/term_constraints.php; api/mgt/plan/get.php; api/mgt/terminal_constraints/delete.php; api/mgt/terminal_constraints/post.php; api/mgt/terminal_constraints/update.php,docs/DEPLOYMENT_GUIDE.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md
adl_archive_config,dbo.adl_archive_config,4,0,database/migrations/archive/ADL_Archive_FULL_DEPLOYMENT.sql; database/migrations/backfill/001_backfill_throttle_config.sql; scripts/backfill/ResourceMeter.php; scripts/backfill/hibernation_recovery.php,
adl_archive_log,dbo.adl_archive_log,4,1,adl/scripts/sp_ArchiveChangelog_Enhanced.sql; database/migrations/adl/014_archive_tmi_aware.sql; database/migrations/adl/016_tmi_trajectory_purge.sql; database/migrations/archive/ADL_Archive_FULL_DEPLOYMENT.sql,docs/plans/2026-02-02-tmi-trajectory.md
adl_flight_archive,dbo.adl_flight_archive,4,0,adl/migrations/oooi/009_arrival_detection_backfill.sql; api/analysis/escape_desert_archive.php; database/migrations/archive/ADL_Archive_FULL_DEPLOYMENT.sql; scripts/backfill/hibernation_recovery.php,
adl_flight_weather_impact,dbo.adl_flight_weather_impact,4,0,adl/migrations/weather/001_weather_alerts_schema.sql; adl/migrations/weather/002_weather_impact_detection.sql; adl/migrations/weather/004_fix_weather_polygon_orientation.sql; api/weather/impact.php,
adl_region_airports,dbo.adl_region_airports,4,0,adl/migrations/crossings/001_planned_crossings_schema.sql; adl/migrations/crossings/DEPLOY_ALL_CROSSINGS.sql; adl/migrations/crossings/FIX_COLUMN_NAMES.sql; adl/procedures/sp_DetectRegionalFlight.sql,
adl_slots_gdp,dbo.adl_slots_gdp,4,0,api/tmi/gdp_apply.php; api/tmi/gdp_purge.php; api/tmi/gdp_purge_local.php; api/tmi/gdp_simulate.php,
adl_staging_pilots,dbo.adl_staging_pilots,4,0,adl/procedures/sp_Adl_RefreshFromVatsim_Staged.sql; adl/sql/adl_staging_pilots.sql; adl/sql/adl_staging_tvp_types.sql; scripts/vatsim_adl_daemon.php,
adl_staging_prefiles,dbo.adl_staging_prefiles,4,0,adl/procedures/sp_Adl_RefreshFromVatsim_Staged.sql; adl/sql/adl_staging_pilots.sql; adl/sql/adl_staging_tvp_types.sql; scripts/vatsim_adl_daemon.php,
area_centers,dbo.area_centers,4,0,adl/migrations/core/005_adl_views_seed_data.sql; adl/migrations/ref/002_initial_data_load.sql; adl/reference_data/import_airways.php; adl/scripts/sync_ref_to_adl.sql,
artcc_tier_groups,dbo.artcc_tier_groups,4,0,adl/migrations/topology/001_artcc_topology_schema.sql; adl/migrations/topology/002_artcc_topology_seed.sql; adl/migrations/topology/verify_tiers.sql; api/tiers.php,
boundary_adjacency,boundary_adjacency,4,2,load/services/GISService.php; scripts/postgis/009_boundary_adjacency_network.sql; scripts/postgis/010_proximity_tiers.sql; scripts/postgis/012_artcc_tier_matrix.sql,wiki/Database-Schema.md; wiki/Navigation-Helper.md
cdm_airport_status,dbo.cdm_airport_status,4,0,api/data/cdm/status.php; api/swim/v1/cdm/airport-status.php; database/migrations/tmi/040_cdm_core_schema.sql; load/services/CDMService.php,
cdm_compliance_live,dbo.cdm_compliance_live,4,0,api/data/cdm/status.php; api/swim/v1/cdm/compliance.php; database/migrations/tmi/040_cdm_core_schema.sql; load/services/CDMService.php,
cdm_messages,dbo.cdm_messages,4,0,api/data/cdm/status.php; database/migrations/tmi/040_cdm_core_schema.sql; load/services/CDMService.php; load/services/EDCTDelivery.php,
dcc_advisories,dbo.dcc_advisories,4,0,api/nod/advisories.php; api/nod/advisory_import.php; api/nod/discord-post.php; database/migrations/advisories/001_dcc_advisories.sql,
facility_flow_elements,dbo.facility_flow_elements,4,0,api/nod/fea.php; api/nod/flows/configs.php; api/nod/flows/elements.php; api/nod/flows/gates.php,
flight_stats_artcc,dbo.flight_stats_artcc,4,0,adl/migrations/stats/002_flight_stats_procedures.sql; adl/migrations/stats/004_flight_stats_carrier_domestic.sql; adl/migrations/stats/004_flight_stats_trends.sql; api/stats/StatsHelper.php,
flight_stats_citypair,dbo.flight_stats_citypair,4,0,adl/migrations/stats/002_flight_stats_procedures.sql; adl/migrations/stats/004_flight_stats_carrier_domestic.sql; adl/migrations/stats/004_flight_stats_trends.sql; api/stats/StatsHelper.php,
flight_stats_daily,dbo.flight_stats_daily,4,0,adl/migrations/stats/002_flight_stats_procedures.sql; adl/migrations/stats/004_flight_stats_carrier_domestic.sql; adl/migrations/stats/004_flight_stats_trends.sql; api/stats/StatsHelper.php,
flight_stats_run_log,dbo.flight_stats_run_log,4,0,adl/migrations/stats/002_flight_stats_procedures.sql; adl/migrations/stats/003_flight_stats_agent_jobs.sql; adl/migrations/stats/004_flight_stats_carrier_domestic.sql; adl/migrations/stats/004_flight_stats_trends.sql,
flight_stats_tmi,dbo.flight_stats_tmi,4,0,adl/migrations/stats/002_flight_stats_procedures.sql; adl/migrations/stats/004_flight_stats_carrier_domestic.sql; adl/migrations/stats/004_flight_stats_trends.sql; api/stats/StatsHelper.php,
manual_rate_override,dbo.manual_rate_override,4,0,adl/migrations/091_manual_rate_overrides.sql; adl/migrations/095_atis_type_priority.sql; api/demand/override.php; scripts/cdm_daemon.php,
modifier_category,dbo.modifier_category,4,0,adl/migrations/092_config_modifiers_schema.sql; adl/migrations/093_config_modifiers_data_migration.sql; adl/migrations/093b_normalize_remaining_runway_ids.sql; api/data/configs.php,
modifier_type,dbo.modifier_type,4,0,adl/migrations/092_config_modifiers_schema.sql; adl/migrations/093_config_modifiers_data_migration.sql; adl/migrations/093b_normalize_remaining_runway_ids.sql; api/data/configs.php,
p_enroute_init_timeline,p_enroute_init_timeline,4,5,api/data/plans/enroute_inits_timeline.php; api/data/review/tmr_ops_plan.php; api/jatoc/space_ops.php; api/mgt/plan/get.php,docs/DEPLOYMENT_GUIDE.md; docs/mysql-8-upgrade-analysis.md; docs/plans/2026-02-15-vatcan-interop-design.md; docs/plans/2026-02-15-vatcan-interop-implementation.md; wiki/Navigation-Helper.md
