EFF_DATE,ARRIVAL_NAME,STAR_COMPUTER_CODE,ARTCC,DEST_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_DEST_GROUP
11/27/2025,SEEVR,SEEVR.SEEVR4,ZFW,KDFW,SEEVR-YAHBT,AXXEE.SEEVR4,AXXEE TRANSITION,AXXEE MMANN LKINS SEEVR BRDJE NUSSS YAHBT,AXXEE MMANN LKINS SEEVR BRDJE NUSSS YAHBT KDFW
11/27/2025,SEEVR,SEEVR.SEEVR4,ZFW,KDFW,SEEVR-YAHBT,CHMLI.SEEVR4,CHMLI TRANSITION,CHMLI JUSST SWTCH THEMM SEEVR BRDJE NUSSS YAHBT,CHMLI JUSST SWTCH THEMM SEEVR BRDJE NUSSS YAHBT KDFW
11/27/2025,SEEVR,SEEVR.SEEVR4,ZFW,KDFW,SEEVR-YAHBT,FEWWW.SEEVR4,FEWWW TRANSITION,FEWWW PROWD LETHR NECKK SAYLR SEEVR BRDJE NUSSS YAHBT,FEWWW PROWD LETHR NECKK SAYLR SEEVR BRDJE NUSSS YAHBT KDFW
11/27/2025,SEEVR,SEEVR.SEEVR4,ZFW,KDFW,SEEVR-YAHBT,HITUG.SEEVR4,HITUG TRANSITION,HITUG SSLID PLEZE CHMLI JUSST SWTCH THEMM SEEVR BRDJE NUSSS YAHBT,HITUG SSLID PLEZE CHMLI JUSST SWTCH THEMM SEEVR BRDJE NUSSS YAHBT KDFW
11/27/2025,SEEVR,SEEVR.SEEVR4,ZFW,KDFW,SEEVR-YAHBT,JRHED.SEEVR4,JRHED TRANSITION,JRHED PROWD LETHR NECKK SAYLR SEEVR BRDJE NUSSS YAHBT,JRHED PROWD LETHR NECKK SAYLR SEEVR BRDJE NUSSS YAHBT KDFW
11/27/2025,SEEVR,SEEVR.SEEVR4,ZFW,KDFW,SEEVR-YAHBT,PROWD.SEEVR4,PROWD TRANSITION,PROWD LETHR NECKK SAYLR SEEVR BRDJE NUSSS YAHBT,PROWD LETHR NECKK SAYLR SEEVR BRDJE NUSSS YAHBT KDFW
11/27/2025,SEEVR,SEEVR.SEEVR4,ZFW,KDFW,SEEVR-YAHBT,RRNET.SEEVR4,RRNET TRANSITION,RRNET PLEZE CHMLI JUSST SWTCH THEMM SEEVR BRDJE NUSSS YAHBT,RRNET PLEZE CHMLI JUSST SWTCH THEMM SEEVR BRDJE NUSSS YAHBT KDFW
11/27/2025,SEEVR,SEEVR.SEEVR4,ZFW,KDFW,SEEVR-YAHBT,RRONY.SEEVR4,RRONY TRANSITION,RRONY ROWZE SEEVR BRDJE NUSSS YAHBT,RRONY ROWZE SEEVR BRDJE NUSSS YAHBT KDFW
11/27/2025,SELINSGROVE,SEG.SEG6,ZDC,KIAD,SEG-FDK,FQM.SEG6,WILLIAMSPORT TRANSITION,FQM WATSO SEG LEGGO PRTZL HYPER FDK,FQM WATSO SEG LEGGO PRTZL HYPER FDK KIAD
11/27/2025,SELINSGROVE,SEG.SEG6,ZDC,KIAD,SEG-FDK,LVZ.SEG6,WILKES-BARRE TRANSITION,LVZ DIANO BLESS SEG LEGGO PRTZL HYPER FDK,LVZ DIANO BLESS SEG LEGGO PRTZL HYPER FDK KIAD
11/27/2025,SERFR,SERFR.SERFR4,ZOA,KSFO,SERFR-EDDYY,,,SERFR NRRLI WWAVS EPICK FOLET EDDYY,SERFR NRRLI WWAVS EPICK FOLET EDDYY KSFO
11/27/2025,WWAVS,SERFR.WWAVS2,ZOA,KSFO/10L|10R,SERFR-PLLAR,,,SERFR NRRLI WWAVS WPOUT PLLAR,SERFR NRRLI WWAVS WPOUT PLLAR KSFO/10L|10R
11/27/2025,WWAVS,SERFR.WWAVS2,ZOA,KSFO/19L|19R,SERFR-MVRKK,,,SERFR NRRLI WWAVS WPOUT THEEZ WESLA MVRKK,SERFR NRRLI WWAVS WPOUT THEEZ WESLA MVRKK KSFO/19L|19R
11/27/2025,SETER,SETER.SETER5,ZLA,KAJO KCNO KEMT KONT/08L|08R KPOC KRAL KSBD,SETER-PDZ,JLI.SETER5,JULIAN TRANSITION,JLI ROTHY SETER BERDU PDZ,JLI ROTHY SETER BERDU PDZ KAJO KCNO KEMT KONT/08L|08R KPOC KRAL KSBD
11/27/2025,SETER,SETER.SETER5,ZLA,KONT/26L|26R,SETER-SB,JLI.SETER5,JULIAN TRANSITION,JLI ROTHY SETER SB,JLI ROTHY SETER SB KONT/26L|26R
11/27/2025,SETER,SETER.SETER5,ZLA,KAJO KCNO KEMT KONT/08L|08R KPOC KRAL KSBD,SETER-PDZ,PSP.SETER5,PALM SPRINGS TRANSITION,PSP AHLEX BANDS SETER BERDU PDZ,PSP AHLEX BANDS SETER BERDU PDZ KAJO KCNO KEMT KONT/08L|08R KPOC KRAL KSBD
11/27/2025,SETER,SETER.SETER5,ZLA,KONT/26L|26R,SETER-SB,PSP.SETER5,PALM SPRINGS TRANSITION,PSP AHLEX BANDS SETER SB,PSP AHLEX BANDS SETER SB KONT/26L|26R
11/27/2025,SHAFF,SHAFF.SHAFF7,ZNY,KEWR,FLOSI-SAX,ALB.SHAFF7,ALBANY TRANSITION,ALB ACOVE TALCO WEETS HELON FLOSI CRANK SHAFF SAX,ALB ACOVE TALCO WEETS HELON FLOSI CRANK SHAFF SAX KEWR
11/27/2025,SHAFF,SHAFF.SHAFF7,ZNY,KEWR,FLOSI-SAX,BAF.SHAFF7,BARNES TRANSITION,BAF BOWAN WIGAN TALCO WEETS HELON FLOSI CRANK SHAFF SAX,BAF BOWAN WIGAN TALCO WEETS HELON FLOSI CRANK SHAFF SAX KEWR
11/27/2025,SHAFF,SHAFF.SHAFF7,ZNY,KEWR,FLOSI-SAX,GEE.SHAFF7,GENESEO TRANSITION,GEE EXTOL KODEY HNK HELON FLOSI CRANK SHAFF SAX,GEE EXTOL KODEY HNK HELON FLOSI CRANK SHAFF SAX KEWR
11/27/2025,SHAFF,SHAFF.SHAFF7,ZNY,KEWR,FLOSI-SAX,HNK.SHAFF7,HANCOCK TRANSITION,HNK HELON FLOSI CRANK SHAFF SAX,HNK HELON FLOSI CRANK SHAFF SAX KEWR
11/27/2025,SHAFF,SHAFF.SHAFF7,ZNY,KEWR,FLOSI-SAX,IGN.SHAFF7,KINGSTON TRANSITION,IGN FLOSI CRANK SHAFF SAX,IGN FLOSI CRANK SHAFF SAX KEWR
11/27/2025,SHAIN,SHAIN.SHAIN2,ZAU,KORD/09L|09R|10C|10L|10R,SHAIN-NUNWS,BFORD.SHAIN2,BFORD TRANSITION,BFORD EZZRA TRIDE SHAIN RAGSS JUMPN NUNWS,BFORD EZZRA TRIDE SHAIN RAGSS JUMPN NUNWS KORD/09L|09R|10C|10L|10R
11/27/2025,SHAIN,SHAIN.SHAIN2,ZAU,KORD/09L|09R|10C|10L|10R,SHAIN-NUNWS,CASHN.SHAIN2,CASHN TRANSITION,CASHN VINCA MAROC KELTS FNBAR TRIDE SHAIN RAGSS JUMPN NUNWS,CASHN VINCA MAROC KELTS FNBAR TRIDE SHAIN RAGSS JUMPN NUNWS KORD/09L|09R|10C|10L|10R
11/27/2025,SHAIN,SHAIN.SHAIN2,ZAU,KORD/09L|09R|10C|10L|10R,SHAIN-NUNWS,DRAMS.SHAIN2,DRAMS TRANSITION,DRAMS RYELY BFORD EZZRA TRIDE SHAIN RAGSS JUMPN NUNWS,DRAMS RYELY BFORD EZZRA TRIDE SHAIN RAGSS JUMPN NUNWS KORD/09L|09R|10C|10L|10R
11/27/2025,SHAIN,SHAIN.SHAIN2,ZAU,KORD/09L|09R|10C|10L|10R,SHAIN-NUNWS,FTZ.SHAIN2,FORISTELL TRANSITION,FTZ GROOV CASHN VINCA MAROC KELTS FNBAR TRIDE SHAIN RAGSS JUMPN NUNWS,FTZ GROOV CASHN VINCA MAROC KELTS FNBAR TRIDE SHAIN RAGSS JUMPN NUNWS KORD/09L|09R|10C|10L|10R
11/27/2025,SHAIN,SHAIN.SHAIN2,ZAU,KORD/09L|09R|10C|10L|10R,SHAIN-NUNWS,IRK.SHAIN2,KIRKSVILLE TRANSITION,IRK LOAMY KEOKK DRAMS RYELY BFORD EZZRA TRIDE SHAIN RAGSS JUMPN NUNWS,IRK LOAMY KEOKK DRAMS RYELY BFORD EZZRA TRIDE SHAIN RAGSS JUMPN NUNWS KORD/09L|09R|10C|10L|10R
11/27/2025,SHAIN,SHAIN.SHAIN2,ZAU,KORD/09L|09R|10C|10L|10R,SHAIN-NUNWS,LOAMY.SHAIN2,LOAMY TRANSITION,LOAMY KEOKK DRAMS RYELY BFORD EZZRA TRIDE SHAIN RAGSS JUMPN NUNWS,LOAMY KEOKK DRAMS RYELY BFORD EZZRA TRIDE SHAIN RAGSS JUMPN NUNWS KORD/09L|09R|10C|10L|10R
11/27/2025,SHAIN,SHAIN.SHAIN2,ZAU,KORD/09L|09R|10C|10L|10R,SHAIN-NUNWS,PNTAC.SHAIN2,PNTAC TRANSITION,PNTAC TRICH TRIDE SHAIN RAGSS JUMPN NUNWS,PNTAC TRICH TRIDE SHAIN RAGSS JUMPN NUNWS KORD/09L|09R|10C|10L|10R
11/27/2025,SHAIN,SHAIN.SHAIN2,ZAU,KORD/09L|09R|10C|10L|10R,SHAIN-NUNWS,STL.SHAIN2,ST LOUIS TRANSITION,STL GROOV CASHN VINCA MAROC KELTS FNBAR TRIDE SHAIN RAGSS JUMPN NUNWS,STL GROOV CASHN VINCA MAROC KELTS FNBAR TRIDE SHAIN RAGSS JUMPN NUNWS KORD/09L|09R|10C|10L|10R
11/27/2025,SHAIN,SHAIN.SHAIN2,ZAU,KORD/09L|09R|10C|10L|10R,SHAIN-NUNWS,TRIDE.SHAIN2,TRIDE TRANSITION,TRIDE SHAIN RAGSS JUMPN NUNWS,TRIDE SHAIN RAGSS JUMPN NUNWS KORD/09L|09R|10C|10L|10R
11/27/2025,SHAIN,SHAIN.SHAIN2,ZAU,KORD/09L|09R|10C|10L|10R,SHAIN-NUNWS,VINCA.SHAIN2,VINCA TRANSITION,VINCA MAROC KELTS FNBAR TRIDE SHAIN RAGSS JUMPN NUNWS,VINCA MAROC KELTS FNBAR TRIDE SHAIN RAGSS JUMPN NUNWS KORD/09L|09R|10C|10L|10R
11/27/2025,SHAIN,SHAIN.SHAIN2,ZAU,KORD/09L|09R|10C|10L|10R,SHAIN-NUNWS,WELTS.SHAIN2,WELTS TRANSITION,WELTS MCDEE CASHN VINCA MAROC KELTS FNBAR TRIDE SHAIN RAGSS JUMPN NUNWS,WELTS MCDEE CASHN VINCA MAROC KELTS FNBAR TRIDE SHAIN RAGSS JUMPN NUNWS KORD/09L|09R|10C|10L|10R
11/27/2025,SHAMU,SHAMU.SHAMU1,ZLA,KSAN/09,SHAMU-SARGS,LAX.SHAMU1,LOS ANGELES TRANSITION,LAX EIREE SHAMU SARGS,LAX EIREE SHAMU SARGS KSAN/09
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KMKY,SHFTY-KLAWS,CYNTA.SHFTY6,CYNTA TRANSITION,CYNTA BOCAP HEPOX WOSAK INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL KLAWS,CYNTA BOCAP HEPOX WOSAK INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL KLAWS KMKY
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KAPF,SHFTY-TIOFF,CYNTA.SHFTY6,CYNTA TRANSITION,CYNTA BOCAP HEPOX WOSAK INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL TIOFF,CYNTA BOCAP HEPOX WOSAK INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE KOCHE COGDL TIOFF KAPF
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KFMY,SHFTY-PONTY,CYNTA.SHFTY6,CYNTA TRANSITION,CYNTA BOCAP HEPOX WOSAK INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE WYCOF PONTY,CYNTA BOCAP HEPOX WOSAK INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL IRNIE WYCOF PONTY KFMY
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KRSW/24,SHFTY-RODDE,CYNTA.SHFTY6,CYNTA TRANSITION,CYNTA BOCAP HEPOX WOSAK INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL RODDE,CYNTA BOCAP HEPOX WOSAK INPIN VALCH SHFTY WRTRS BUNGE MAZZY MOEMO LBELL RODDE KRSW/24
11/27/2025,SHFTY,SHFTY.SHFTY6,ZMA,KRSW/06,SHFTY-STERO,CYNTA.SHFTY6,CYNTA TRANSITION,CYNTA BOCAP HEPOX WOSAK INPIN VALCH SHFTY WRTRS MAZZY MOEMO LBELL IRNIE WYCOF STERO,CYNTA BOCAP HEPOX WOSAK INPIN VALCH SHFTY WRTRS MAZZY MOEMO LBELL IRNIE WYCOF STERO KRSW/06
