EFF_DATE,DP_NAME,DP_COMPUTER_CODE,ARTCC,ORIG_GROUP,BODY_NAME,TRANSITION_COMPUTER_CODE,TRANSITION_NAME,ROUTE_POINTS,ROUTE_FROM_ORIG_GROUP
11/27/2025,ROSCOE,RSCO4.VVERA,ZLA,KVNY/16R,DSSRT-VVERA,RSCO4.DAG,DAGGETT TRANSITION,DSSRT BSHOW CCHUM KIMMO SLAPP JARZO VVERA SSETH DAG,KVNY/16R DSSRT BSHOW CCHUM KIMMO SLAPP JARZO VVERA SSETH DAG
11/27/2025,ROSCOE,RSCO4.VVERA,ZLA,KVNY/16R,DSSRT-VVERA,RSCO4.HEC,HECTOR TRANSITION,DSSRT BSHOW CCHUM KIMMO SLAPP JARZO VVERA SSETH HEC,KVNY/16R DSSRT BSHOW CCHUM KIMMO SLAPP JARZO VVERA SSETH HEC
11/27/2025,ROCHESTER,RST1.RST,ZMP,KANE KFCM KMSP/04|12L|12R|17|22|30L|30R|35 KSTP/09|13|14|27|32,FGT-RST,RST1.ALO,WATERLOO TRANSITION,FGT FOBUG DOKTR CORDY RST ALO,KANE KFCM KMSP/04|12L|12R|17|22|30L|30R|35 KSTP/09|13|14|27|32 FGT FOBUG DOKTR CORDY RST ALO
11/27/2025,RUGGD,RUGGD3.RUGGD,ZLC,KSLC/16L|16R|17|34L|34R|35,BUBBY-RUGGD,RUGGD3.EKR,MEEKER TRANSITION,BUBBY RUGGD UPJAR BORZI EKR,KSLC/16L|16R|17|34L|34R|35 BUBBY RUGGD UPJAR BORZI EKR
11/27/2025,RUGGD,RUGGD3.RUGGD,ZLC,KSLC/16L|16R|17|34L|34R|35,BUBBY-RUGGD,RUGGD3.HOLTR,HOLTR TRANSITION,BUBBY RUGGD KLOUD SAWGI HOLTR,KSLC/16L|16R|17|34L|34R|35 BUBBY RUGGD KLOUD SAWGI HOLTR
11/27/2025,RUGGD,RUGGD3.RUGGD,ZLC,KSLC/16L|16R|17|34L|34R|35,BUBBY-RUGGD,RUGGD3.KIERA,KIERA TRANSITION,BUBBY RUGGD LOFOG LEGBE KIERA,KSLC/16L|16R|17|34L|34R|35 BUBBY RUGGD LOFOG LEGBE KIERA
11/27/2025,RUGGD,RUGGD3.RUGGD,ZLC,KSLC/16L|16R|17|34L|34R|35,BUBBY-RUGGD,RUGGD3.OCS,ROCK SPRINGS TRANSITION,BUBBY RUGGD SPINE SKIII POPLE OCS,KSLC/16L|16R|17|34L|34R|35 BUBBY RUGGD SPINE SKIII POPLE OCS
11/27/2025,RUGGD,RUGGD3.RUGGD,ZLC,KSLC/16L|16R|17|34L|34R|35,BUBBY-RUGGD,RUGGD3.PERTY,PERTY TRANSITION,BUBBY RUGGD HERTS PERTY,KSLC/16L|16R|17|34L|34R|35 BUBBY RUGGD HERTS PERTY
11/27/2025,BRIDGES,RVF2.HIA,ZLC,KRVF/35,HIA,,,HIA,KRVF/35 HIA
11/27/2025,RVRCT,RVRCT4.RVRCT,ZOA,KSMF/35L|35R,RVRCT,RVRCT4.MACUS,MACUS TRANSITION,RVRCT DNGER MACUS,KSMF/35L|35R RVRCT DNGER MACUS
